Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,European Archetype
Maxwell Lewis,6.138,19.1,10.5,4,10.8,0.372,1.3,4.3,0.294,1.3,1.8,0.714,1.5,0.8,2.3,1.5,1.8,0.5,0.5,2,-4,Yet to be defined
Coleman Hawkins,6.1044,16.6,6,2,4.5,0.444,0.5,2,0.25,1.5,2,0.75,2,4,6,2,3,1.5,0,2,4,Yet to be defined
Javan Johnson,6.0467,17.2,8,3,5,0.6,2,3,0.667,0,0,0,0,4,4,0,1,0,2,2,8,Yet to be defined
Ben Saraf,6.0342,22.9,7,2.3,7.7,0.304,0,1.3,0,2.3,4.3,0.538,0.7,1.3,2,3.7,2.7,1,0.3,2,-2,Yet to be defined
Keve Aluma,6,18.5,11.3,4.3,7.5,0.567,1.5,3.8,0.4,1.3,1.5,0.833,2.3,2,4.3,0.8,1,1.3,0.5,2.3,-6,Yet to be defined
Yuri Collins,5.9787,26,7.8,3,7.8,0.387,0,1,0,1.8,1.8,1,0.5,2,2.5,6,3.3,1.3,0.3,2.3,-9,Yet to be defined
Darius Brown,5.9725,19.2,3.7,0.7,5.3,0.125,0,2.7,0,2.3,2.3,1,1.7,3,4.7,3.3,1,1,0,2.7,5,Yet to be defined
Jazian Gortman,5.9485,18.4,9.5,4,8.3,0.485,0.5,2.5,0.2,1,1,1,0,2.5,2.5,2.3,1.5,0,0.5,1.3,2,Yet to be defined
Trey Alexander,5.9036,19.2,10,2.7,7,0.381,1.7,3.7,0.455,3,3.3,0.9,0.7,1.3,2,1.7,1.3,0.7,0,1,-2,Yet to be defined
Moses Wood,5.9014,19.7,7.5,2.8,8.8,0.314,1.3,6.3,0.2,0.8,1.5,0.5,1.3,2.3,3.5,1.8,0.8,0.5,1.3,1.8,-4,Yet to be defined
Christian Koloko,5.8989,18.2,8,3,5,0.6,0.3,1,0.333,1.7,3,0.556,1.3,2.7,4,1,0.7,1.3,2.3,4,0,Yet to be defined
Alex Toohey,5.865,23.8,8.7,2.3,9,0.259,0.7,3,0.222,3.3,4.3,0.769,2,2,4,1.3,1,2,0.7,2.3,-13,Yet to be defined
Leopold Delaunay,5.8566,14.8,7,3,5,0.6,0.5,1.5,0.333,0.5,1.5,0.333,0,4,4,2,1.5,0.5,0,2.5,9,Yet to be defined
Chris Manon,5.8487,15.2,8,2.7,5.7,0.471,0.3,1,0.333,2.3,4,0.583,1.7,2.3,4,2,2,0.3,1.3,2.3,2,Yet to be defined
Tyler Smith,5.8371,24,7,2.3,8.8,0.257,0.5,5.8,0.087,2,2.8,0.727,1,2.5,3.5,0,1.5,0,1.3,2.3,-8,Yet to be defined
Jermaine Samuels Jr.,5.7717,19.8,8.3,3,6.7,0.45,0.3,1.7,0.2,2,3,0.667,2,2.3,4.3,0,2,0,0.3,2.7,-2,Yet to be defined
Tristen Newton,5.7685,18,5.5,1.3,4.8,0.263,1,3,0.333,2,2.3,0.889,0.5,1.8,2.3,2.3,1,1.8,0.3,2.3,6,Yet to be defined
Nell Joseph,5.7263,17.3,6,3,5.3,0.563,0,0.3,0,0,0.7,0,2.7,3.7,6.3,2.3,0.7,1,1.7,2.7,3,Yet to be defined
Leaky Black,5.725,21.7,6.5,2,5.5,0.364,0.8,3,0.25,1.8,2.8,0.636,1.3,3.5,4.8,2.3,1.5,1,1,2.5,-6,Yet to be defined
Will Riley,5.7204,21.8,10.5,3.5,6,0.583,2,3.5,0.571,1.5,2,0.75,0,1.5,1.5,1.5,0.5,0,0,1.5,-2,Yet to be defined
