Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,European Archetype
Kyle Filipowski,14.4777,28.6,29.3,10.7,19,0.561,3,7.7,0.391,5,8,0.625,1.3,6.3,7.7,2.3,2.3,0.3,0.7,6,5,Euro Big
Ajay Mitchell,13.1596,27.3,20,6.3,12.3,0.514,1.3,3.7,0.364,6,7.3,0.818,1,5,6,4.3,4.7,1.7,0.7,3.3,19,Hyrbid Euro
Terrence Shannon Jr.,13.1108,29.3,22.7,6.7,14,0.476,3.3,8.7,0.385,6,6.3,0.947,0.7,5.3,6,5,3.3,1.7,0,2.3,8,Yet to be defined
Ronald Holland II,13.0964,29.6,21.7,6.3,12,0.528,2.3,5,0.467,6.7,8.7,0.769,1,5,6,2.3,4,4,0.3,4.3,10,Yet to be defined
David Jones-Garcia,13.0294,24.3,24.3,9,15.3,0.587,4,6.3,0.632,2.3,2.7,0.875,1,4.3,5.3,4,4,1.7,0,2.7,17,Hyrbid Euro
Kobe Bufkin,12.9687,26.8,21.3,5.7,16,0.354,2,7.3,0.273,8,8.3,0.96,0.3,4.7,5,5,3.7,1,1,5,7,Stretch Big / Rim Protector
Jaylon Tyson,12.5465,29.6,19.7,6.3,15.7,0.404,2.7,7.7,0.348,4.3,5.3,0.813,2.3,3.7,6,6.7,4,1.3,1.3,4.3,3,Stretch Big / Rim Protector
Jordan Miller,12.3635,32.2,21,7,14,0.5,2,5.7,0.353,5,5.7,0.882,1.7,4.7,6.3,2.3,3,1.7,0.3,3.3,6,Yet to be defined
Nae'Qwan Tomlin,12.2991,26.9,20.3,8,13.8,0.582,2.3,5.5,0.409,2,2.5,0.8,5,3.5,8.5,3.8,2.3,1.8,1,5,9,Stretch Big / Rim Protector
Cole Swider,12.2927,29.8,19.7,6.7,13.7,0.488,4.7,9.7,0.483,1.7,3,0.556,1.7,6.7,8.3,1.7,1.7,1.3,0,3,8,Yet to be defined
Drew Timme,12.2315,30.7,25.3,10.3,18.7,0.554,1,4.7,0.214,3.7,5.7,0.647,2.3,5.7,8,2.7,1.7,1,0.7,2.7,-4,Euro Big
Reed Sheppard,11.9482,30.6,23,8,22,0.364,3.5,11,0.318,3.5,5,0.7,0,5.5,5.5,2.5,4.5,4,1.5,3,-15,Yet to be defined
Walter Clayton Jr.,11.7571,27.2,21,8,17,0.471,4,10,0.4,1,2,0.5,0,6,6,3,2,0,1,6,2,Stretch Big / Rim Protector
VJ Edgecombe,11.6853,30.4,15,4,14,0.286,1,6,0.167,6,6,1,0,6,6,4,2,2,1,2,10,Euro Facilitator
Kyshawn George,11.5814,31.5,17,7,17,0.412,2,8.5,0.235,1,1.5,0.667,1.5,6.5,8,4.5,3.5,4,0,5,-4,Yet to be defined
Cooper Flagg,11.5542,31.4,20.5,7.5,21,0.357,1.5,7,0.214,4,7,0.571,0,5,5,2.5,1.5,1.5,0.5,1.5,-3,Glue Guy
Nique Clifford,11.5304,27,18.5,7,12,0.583,2.3,4.3,0.529,2.3,3.3,0.692,1,5.5,6.5,5,3,1.3,0.5,4,10,Yet to be defined
Baylor Scheierman,11.5227,28.9,13.3,5,16,0.313,2,9.3,0.214,1.3,1.7,0.8,0.7,4.7,5.3,7,1.7,2.7,0,3.3,11,Yet to be defined
Rob Dillingham,11.4744,29.3,17.3,6.5,16.5,0.394,1.5,4.5,0.333,2.8,3,0.917,1,2.8,3.8,6.5,4.3,1.8,0,2.5,9,Yet to be defined
Cody Williams,11.4401,31.5,19,7.3,16.3,0.446,2,7,0.286,2.5,3.3,0.769,0.5,3.8,4.3,2.8,2,2.3,0.5,2.8,5,Yet to be defined
Caleb Love,11.44,28.5,17.7,6.3,17.7,0.358,3.3,8,0.417,1.7,2.7,0.625,0.7,5.7,6.3,2.7,1.7,1,0.3,2.7,6,Yet to be defined
KJ Simpson,11.4188,27.9,19.3,6.7,14.7,0.455,2.7,7.3,0.364,3.3,4.3,0.769,1,2.7,3.7,5.3,2.7,1.7,0,2.3,7,Yet to be defined
Liam McNeeley,11.3825,29.1,18,5.5,13.5,0.407,3,7,0.429,4,4.5,0.889,3,5.5,8.5,4,1.5,0.5,0,1.5,3,Euro Facilitator
Cam Christie,11.372,32.2,16.7,5,12.3,0.405,2.3,6.7,0.35,4.3,5.7,0.765,0.7,4.3,5,3.7,2.3,1.7,0,1.3,8,Yet to be defined
Javon Freeman-Liberty,11.2851,29.5,20.8,6.3,13,0.481,1,3.5,0.286,7.3,9.3,0.784,1.5,3.8,5.3,2.8,2.8,1.3,0.3,2.8,0,Yet to be defined
A.J. Lawson,11.2679,23.7,20.7,5.7,10,0.567,2.7,4.7,0.571,6.7,9,0.741,1.3,4.7,6,2.3,1.7,1.3,1,1.3,8,3&D Wing
Patrick Baldwin Jr.,11.175,26.6,16,6,16.5,0.364,3,10.5,0.286,1,2,0.5,1.5,8.5,10,0.5,3.5,2,1.5,4.5,-3,Yet to be defined
Tolu Smith,10.9923,25,15.7,4.7,9,0.519,0,0,0,6.3,9,0.704,5,4.7,9.7,2.3,1.7,0.3,2,3.3,10,Yet to be defined
Matas Buzelis,10.9512,28.4,22.5,6,14,0.429,2,6,0.333,8.5,10,0.85,0,5,5,1,4,1,1.5,4,-11,Stretch Big / Rim Protector
Rayan Rupert,10.9225,25.3,16.7,5,8,0.625,2.3,3.3,0.7,4.3,4.3,1,1.3,3.7,5,2.7,2,2,0,5,16,Yet to be defined
Ja'Kobe Walter,10.9185,24,18,6,14.3,0.419,2.3,7,0.333,3.7,5,0.733,0.3,3.3,3.7,0.7,2.7,3.3,0.7,3.7,9,Yet to be defined
Devin Carter,10.8751,25.6,16.5,5.5,12,0.458,2.3,5.5,0.409,3.3,4.8,0.684,0.3,4.3,4.5,3.5,2.5,2,0.8,2.8,11,Yet to be defined
Adonis Arms,10.731,26.4,18,5.5,11.5,0.478,1,5.5,0.182,6,8,0.75,0.5,4,4.5,4,1.5,2,1,1.5,5,Euro Facilitator
Kennedy Chandler,10.6474,28.6,19,6.7,16,0.417,1.7,4.7,0.357,4,6.7,0.6,1.7,1.3,3,4.3,2.7,2,0.7,3,-1,Yet to be defined
Derik Queen,10.646,27.1,14,4.7,10.7,0.438,0.3,0.7,0.5,4.3,6,0.722,3.3,7.7,11,2.3,5.7,0.7,1,4.3,1,Stretch Big / Rim Protector
Tyrese Proctor,10.5988,27.5,17.3,5.5,15.3,0.361,2.5,8.5,0.294,3.8,4.5,0.833,0.5,2.5,3,3.8,1.5,1.5,0.3,2.5,4,Yet to be defined
Alex Sarr,10.553,29.6,15.5,6,12.5,0.48,0.5,2.5,0.2,3,4,0.75,2.5,5.5,8,2,4,0.5,5.5,1.5,1,Stretch Big / Rim Protector
Chris Livingston,10.5387,28.3,20.8,7.5,15.3,0.492,2,5.3,0.381,3.8,5.3,0.714,1.8,3.5,5.3,2.3,2.8,0.8,0.5,3.5,-5,Yet to be defined
Leonard Miller,10.5055,25.6,17,6.8,13.5,0.5,0.8,4.5,0.167,2.8,4,0.688,2,6.8,8.8,0.8,2,1.3,1.5,3.5,2,Yet to be defined
Enrique Freeman,10.398,26.8,16.3,4.7,7.3,0.636,1.3,2.3,0.571,5.7,7.3,0.773,3,6.3,9.3,1.7,2,1,2,4,1,Stretch Big / Rim Protector
Daniss Jenkins,10.1989,24.8,17.3,6.3,11,0.576,2.3,4.3,0.538,2.3,2.7,0.875,0,2.7,2.7,5.3,1.3,1.3,1,3.7,11,Yet to be defined
John Tonje,10.1927,23.3,16,5,9,0.556,4,7,0.571,2,4,0.5,0,3,3,3,0,1,0,5,15,Yet to be defined
Cam Spencer,10.1324,27.6,18.3,5.3,11.3,0.471,2.3,5.7,0.412,5.3,5.7,0.941,1.3,1.7,3,2.7,2.3,0.7,0,4.3,2,Yet to be defined
Tristan da Silva,10.0285,28.1,18.5,7,14,0.5,2.5,6.5,0.385,2,2.5,0.8,1.5,4.5,6,3,4.5,1,1,5,-9,Stretch Big / Rim Protector
Kevin McCullar Jr.,9.9934,27.8,21.5,7.5,14.5,0.517,1,5,0.2,5.5,6,0.917,2,3,5,2,4.5,1.5,0,5.5,-14,Yet to be defined
GG Jackson,9.8793,28,14.5,5,11.5,0.435,1,4.5,0.222,3.5,5.5,0.636,1,5,6,4,1,0,1,3,3,Euro Facilitator
Bobi Klintman,9.8782,30,7.7,3,8.3,0.36,0.7,3,0.222,1,2,0.5,1.3,8.3,9.7,3,3.7,1,1,4,10,Yet to be defined
Nikola Topić,9.8494,27.3,11,4.3,12,0.361,1,3,0.333,1.3,1.3,1,1.3,2,3.3,7.3,3.7,1.7,0,3.3,13,Yet to be defined
Jamal Shead,9.8158,24.5,11.7,4,10.3,0.387,1,3.3,0.3,2.7,4.7,0.571,1,2,3,6,3,2,0.7,4,13,Yet to be defined
Brooks Barnhizer,9.8032,25.3,12.5,5,9.5,0.526,0.3,1.8,0.143,2.3,4,0.563,0.8,5,5.8,2.3,1.3,3.8,0.8,1.3,15,Glue Guy
Quincy Olivari,9.7712,26.5,16,4,11.5,0.348,1.5,7,0.214,6.5,10,0.65,2,2,4,3.5,2,1.5,0,3.5,-5,Yet to be defined
Pelle Larsson,9.7494,29,18,4.3,10,0.433,1.3,4,0.333,8,9.7,0.828,0,2.3,2.3,3.7,4.3,0.7,0,2.3,-4,Yet to be defined
Kon Knueppel,9.7133,27.9,10.5,3,9,0.333,1.5,5,0.3,3,5,0.6,1,4.5,5.5,4,2,1,0.5,1.5,11,Euro Facilitator
Kel'el Ware,9.6787,28.9,17.3,6.7,12.7,0.526,1.7,2.7,0.625,2.3,3.7,0.636,2.3,7.7,10,0.7,1,1.3,1.7,3.3,-9,Stretch Big / Rim Protector
Johni Broome,9.6699,23.4,13.5,5,11.3,0.444,2.5,5.5,0.455,1,1.3,0.8,1.8,6,7.8,1.3,1.8,1.3,0.5,3,8,Yet to be defined
Quenton Jackson,9.66,25.8,24,8,10,0.8,1,1,1,7,7,1,0,0,0,3,2,2,0,4,-1,Yet to be defined
Isaiah Collier,9.5963,28.2,13.5,5.3,12.8,0.412,1.3,4,0.313,1.8,4,0.438,0.5,3.5,4,7,3.8,1.3,0.3,2.5,1,Yet to be defined
Chris Youngblood,9.5573,22.1,13.5,4.8,8.5,0.559,2.8,5.5,0.5,1.3,1.8,0.714,1,1.3,2.3,1.3,1,1.5,0.3,1.8,23,3&D Wing
Noah Penda,9.535,27.5,11.3,5,9.7,0.517,1,3.3,0.3,0.3,1,0.333,1.3,6.3,7.7,3,3.7,1.7,0.7,2.7,8,Yet to be defined
Asa Newell,9.5319,25.1,13.3,4.7,9,0.519,2,4,0.5,2,4,0.5,2.3,6,8.3,0.7,0.7,0.7,0.3,3.7,7,Yet to be defined
Tre Johnson,9.5138,27.5,19.5,7,12,0.583,2.5,5.5,0.455,3,5,0.6,1,2,3,1.5,2.5,1,0,1.5,-1,3&D Wing
Charles Bassey,9.4404,21.3,15.3,6.3,9,0.704,0,0,0,2.7,2.7,1,4,7,11,0.3,1.7,0.7,2,1.7,7,Stretch Big / Rim Protector
Zavier Simpson,9.3197,26.6,11,4,7.7,0.522,1,2.7,0.375,2,3.3,0.6,1.7,2,3.7,5,3,2.3,1.7,4,10,Yet to be defined
Nikola Đurišić,9.2479,26.5,13.3,4.7,9.3,0.5,0.3,1,0.333,3.7,4.3,0.846,0.3,2.7,3,4,2,0.7,0.7,4.3,10,Euro Facilitator
Maxime Raynaud,9.2381,26.1,14.3,5.7,10.7,0.531,1,3.3,0.3,2,2.7,0.75,2,3.3,5.3,2,1.7,0.7,1,5,4,Stretch Big / Rim Protector
Hansen Yang,9.2061,25.4,11.7,4.3,9.3,0.464,1.3,3.7,0.364,1.7,2,0.833,1,3,4,3.3,3.7,0.7,2,4.3,9,Yet to be defined
Jacob Toppin,9.2034,22.9,15.3,5.7,10,0.567,1.3,3.3,0.4,2.7,4,0.667,3,4.3,7.3,1.3,1.3,0.7,0,1.3,6,Yet to be defined
Hugo González,9.1669,27.6,11,3.5,12,0.292,2,6,0.333,2,4.5,0.444,2.5,3,5.5,4,4.5,0.5,1,5,-4,Yet to be defined
RayJ Dennis,9.0589,27.7,16,5.3,13.3,0.4,2.3,6,0.389,3,3.3,0.9,0.3,1.7,2,6,4,2.3,0.7,2,-7,3&D Wing
Jase Richardson,8.9865,23.4,16.5,5,9,0.556,1.5,3,0.5,5,5.5,0.909,0,1.5,1.5,2.5,1,0.5,1,4,7,Yet to be defined
Tidjane Salaün,8.9728,24.4,14,4.3,9.7,0.448,1.7,5,0.333,3.7,5.7,0.647,1.7,4,5.7,1,1.7,0,0.7,3,2,Yet to be defined
Jordan Walsh,8.9496,20.7,14.3,4.3,10,0.433,1.7,4.7,0.357,4,5.7,0.706,0.3,3,3.3,1.3,1.7,0.7,0,3.3,9,Yet to be defined
Nate Williams,8.9467,31.2,8,4,15,0.267,0,7,0,0,0,0,2,4,6,3,5,1,0,4,-1,Yet to be defined
Trentyn Flowers,8.8443,23.8,9.3,3.3,7,0.476,0.7,3.3,0.2,2,3,0.667,1.7,3.3,5,1.7,3.3,2,0,2.7,15,Yet to be defined
Bub Carrington,8.7433,30.4,10.5,3,8,0.375,2,4.5,0.444,2.5,3.5,0.714,0.5,4,4.5,4,2.5,1.5,0,2.5,2,Yet to be defined
Jeremiah Fears,8.7393,27,16.3,5.8,14.8,0.39,0.8,4.3,0.176,4,5.5,0.727,0.5,2.5,3,2.3,5,1,0,4.3,-11,Yet to be defined
Malevy Leons,8.7335,22.6,9.8,3.8,6.8,0.556,0.8,1.8,0.429,1.5,2,0.75,2.8,3.5,6.3,2.3,0.5,1.3,0.8,4,15,Yet to be defined
Harrison Ingram,8.7239,24.4,8.7,3,8,0.375,1.3,3.7,0.364,1.3,1.3,1,2,7.7,9.7,4.7,1.7,0.3,0,2.7,5,Yet to be defined
Dalton Knecht,8.7107,27.3,11.5,4.5,15.5,0.29,2,7.5,0.267,0.5,2,0.25,2,3.5,5.5,2,1,1,0,2.5,-2,Yet to be defined
Jahmai Mashack,8.7044,23.7,9.5,4,9,0.444,1,2.5,0.4,0.5,1,0.5,1,4,5,4,4,2,1.5,2,11,3&D Wing
Isaac Jones,8.6859,24.9,12.5,4.8,7.8,0.613,0.3,1.3,0.2,2.8,3.3,0.846,2,3.8,5.8,1.5,1.8,0.5,0.8,2.3,9,Yet to be defined
Jamaree Bouyea,8.6848,23.4,16.5,6.5,14.5,0.448,3.5,7,0.5,0,0,0,1,2.5,3.5,4,0,2.5,0.5,1.5,-1,3&D Wing
Hunter Tyson,8.6761,28.5,12.5,4.5,14,0.321,1.5,5.5,0.273,2,3,0.667,1,8,9,1,1,1,0,1,-8,Yet to be defined
Tyler Kolek,8.661,29.6,12.7,4,13.7,0.293,1.7,7.7,0.217,3,3.3,0.9,1,2.3,3.3,5.3,4.3,2,1,2.3,-12,Yet to be defined
Chaz Lanier,8.5766,25.4,12,4.3,13,0.333,3.3,10,0.333,0,0,0,0.3,1.7,2,2,0.7,0.7,0.7,1,8,Yet to be defined
Ryan Dunn,8.576,25.8,14.7,5.3,11,0.485,2,5.3,0.375,2,3.3,0.6,2.3,3,5.3,2,1.3,2,0.3,3.7,-5,Yet to be defined
Oso Ighodaro,8.5645,29.3,12.3,5,8.8,0.571,0,0.3,0,2.3,4.8,0.474,3.3,5.3,8.5,2.3,3.5,1.8,0.8,2.3,-6,Yet to be defined
Pete Nance,8.5601,28.1,14.3,5.3,10,0.525,2.3,5.5,0.409,1.5,2.3,0.667,0.8,4.3,5,2.3,1.5,1,2.3,3.5,-6,Stretch Big / Rim Protector
DJ Steward,8.548,25.7,10,4,12.3,0.324,1.7,3,0.556,0.3,0.3,1,1.3,3.3,4.7,4.3,2.7,1.7,0.3,1,7,3&D Wing
Jaylen Wells,8.5424,25.5,15.7,4.7,12.7,0.368,2.3,7,0.333,4,4.3,0.923,0.7,2.7,3.3,2.3,2.3,1,0.3,3,-8,Yet to be defined
Tosan Evbuomwan,8.5371,26.2,13.5,4,9.5,0.421,0.5,2,0.25,5,5,1,1,3,4,2,3,3,1,3,-2,Yet to be defined
Eli John Ndiaye,8.53,20.8,12,4,8,0.5,1,4,0.25,3,4,0.75,4,2,6,2,0,1,1,3,8,Stretch Big / Rim Protector
Jaylen Clark,8.501,28.1,8.3,2.8,9,0.306,1.8,5.8,0.304,1,2,0.5,0.5,1.5,2,2.5,0.8,2.5,0.5,2.8,12,Yet to be defined
Miles Kelly,8.4761,26.6,14,5,12,0.417,2.8,8,0.344,1.3,1.3,1,0.5,3.3,3.8,0.8,1.3,1.3,0.5,2.5,-2,Yet to be defined
Branden Carlson,8.4456,18,16.5,6,10,0.6,2.5,4.5,0.556,2,2.5,0.8,1.5,4,5.5,1,1,0,1,2.5,4,Stretch Big / Rim Protector
Mason Jones,8.4,25.5,9.7,2.7,6.7,0.4,2,5,0.4,2.3,3.3,0.7,0.3,3,3.3,5.7,2,0.7,0,2.3,8,Euro Facilitator
Judah Mintz,8.3517,26,12.5,3.5,9,0.389,0.8,2.8,0.273,4.8,7.3,0.655,0.3,2.3,2.5,4,1,0.8,0.3,2.3,2,Euro Facilitator
Riley Minix,8.3344,26.5,12,4,9,0.444,2.7,5.3,0.5,1.3,1.3,1,2.3,3,5.3,1.3,1,0.7,0.7,4,1,Yet to be defined
Ryan Nembhard,8.3272,29.5,11.3,4.3,10.7,0.406,1,3,0.333,1.7,2,0.833,0,2.7,2.7,6.7,3.7,0.7,0,3.7,-2,Yet to be defined
Justin Edwards,8.2542,27.5,12.3,4,12,0.333,3,7.3,0.409,1.3,1.7,0.8,0.3,3.3,3.7,1.3,3,0,0,3.3,-3,Yet to be defined
Darius Bazley,8.2287,26,7,2.3,4.3,0.538,0.3,1,0.333,2,6.3,0.316,2.3,6,8.3,3,2.3,1,2,3,4,Yet to be defined
AJ Johnson,8.1781,26.7,16,6,12.5,0.48,0.8,4,0.188,3.3,4,0.813,0.5,3.8,4.3,1.3,2.3,0.5,0,2.3,-8,Yet to be defined
Sidy Cissoko,8.1777,22.5,10.7,4,9,0.444,1.3,4,0.333,1.3,1.7,0.8,0.3,2.7,3,3.3,2.7,1.3,0.7,3.7,8,Yet to be defined
Danny Wolf,8.1764,24.7,9,2.7,7.3,0.364,1,3,0.333,2.7,4,0.667,0.7,6.7,7.3,2.7,3.3,1,2,3.3,-1,Yet to be defined
Kenneth Lofton Jr.,8.1586,17.9,10.3,3,7,0.429,0.3,0.7,0.5,4,4.7,0.857,2.7,2.7,5.3,2.3,2.3,0.3,0.3,3,13,Yet to be defined
Kam Jones,8.1517,25.5,11.7,4.3,8.3,0.52,1.3,3.7,0.364,1.7,2,0.833,1.3,2.7,4,3.3,3.7,2,0.3,3,1,Yet to be defined
Ryan Kalkbrenner,8.139,26.8,8.7,3.3,7,0.476,0.3,1.7,0.2,1.7,2.3,0.714,2.3,3,5.3,2.3,1.3,0.7,2.3,2,9,Yet to be defined
Boogie Ellis,8.1294,21.4,13.3,4,9,0.444,2.8,5,0.55,2.5,2.5,1,1,2.5,3.5,2.5,2.5,2,0,3.8,1,Yet to be defined
Dylan Harper,8.0868,22.1,16,5,14,0.357,0.5,4,0.125,5.5,7,0.786,0.5,3.5,4,2,3.5,1,0.5,2.5,-12,Yet to be defined
Tristan Enaruna,7.8997,23,13.3,5.3,9.3,0.568,1.5,3.5,0.429,1.3,2.5,0.5,1,1.8,2.8,1.8,0.5,0.8,0.3,0.8,8,Yet to be defined
Bronny James,7.8961,23.1,13,4.3,9.7,0.448,1.7,5.3,0.313,2.7,3.3,0.8,1.3,1.3,2.7,3.3,2.7,0.7,0.3,2,0,Yet to be defined
Kasparas Jakučionis,7.8884,26.4,15,4.5,8.5,0.529,2.5,5.5,0.455,3.5,3.5,1,0,3,3,3,2.5,1.5,0,3.5,-9,Yet to be defined
Keshad Johnson,7.8792,28.7,12,4.3,9.3,0.464,1,4,0.25,2.3,3,0.778,1.7,2.3,4,3.7,1,1,1.3,4.7,-7,Yet to be defined
Jaylen Sims,7.8657,20.5,12.7,4,6.7,0.6,0.7,1.7,0.4,4,4.7,0.857,1.7,2,3.7,1,1.7,2,0,1.7,8,3&D Wing
Cormac Ryan,7.8468,22.2,12.5,3.5,9.5,0.368,1.8,5.5,0.318,3.8,4.3,0.882,0.8,0.8,1.5,1.8,1.5,1.3,0.3,3.8,2,Yet to be defined
Jack McVeigh,7.8411,21.3,14,5.5,9,0.611,2.5,5,0.5,0.5,0.5,1,1,3.5,4.5,2,1.5,0.5,0.5,1.5,3,Yet to be defined
Wendell Moore Jr.,7.8193,22.7,13.8,4.3,9.8,0.436,1.5,4,0.375,3.8,4.3,0.882,1.8,4.8,6.5,0.3,1.3,1.3,0.5,2.8,-7,Yet to be defined
Jahmir Young,7.8154,24.1,15.8,5.5,10.3,0.537,2,3.5,0.571,2.8,3.3,0.846,0.5,1.3,1.8,4.8,3,1,0,0.5,-4,3&D Wing
Tyson Etienne,7.7712,22.9,13,4.5,11.5,0.391,4,9.5,0.421,0,0,0,1.5,0.5,2,2.5,1.5,1.5,0,4,-2,Yet to be defined
M.J. Walker Jr.,7.76,19.2,12,4,10,0.4,4,8,0.5,0,0,0,0.5,2,2.5,1,0.5,0.5,0,2.5,10,Yet to be defined
MarJon Beauchamp,7.7333,23.6,13.3,4.3,12.3,0.351,0.7,5.3,0.125,4,4.7,0.857,0.7,3,3.7,1.3,2,0.7,0.7,2.7,-7,Yet to be defined
Elijah Harkless,7.7234,25.7,7.8,2.3,8.3,0.273,1,4.8,0.211,2.3,3,0.75,1.8,2,3.8,2.5,0.8,2.3,0.3,3.3,4,Yet to be defined
