Player,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,#ERROR!
DaJaun Gordon,2,13.3,3,1,5.5,18.2,1,3,33.3,0,0,0,2,1.5,3.5,0.5,1,1.5,0,2,-7
David Muoka,2,14.6,3,1,3.5,28.6,0,0,0,1,1.5,66.7,1,2,3,1,1,1,0,1,-18
Donovan Williams,1,13,3,1,4,25,0,1,0,1,2,50,2,3,5,1,0,2,3,1,0
Isaiah Mobley,1,24.7,3,0,9,0,0,4,0,3,4,75,0,5,5,4,5,0,0,6,-2
Izan Almansa,2,4.4,3,1,1,100,0,0,0,1,1,100,0,0.5,0.5,0,0.5,0.5,0,0.5,-7
Keyontae Johnson,1,12.4,3,1,3,33.3,0,1,0,1,2,50,1,1,2,2,0,0,0,3,-4
Leaky Black,1,9.4,3,0,3,0,0,3,0,3,4,75,0,3,3,1,2,1,0,2,-5
Markquis Nowell,2,15.2,3,1,2.5,40,0.5,1.5,33.3,0.5,1,50,0.5,1,1.5,5,1.5,1.5,0,0.5,-3
Miller Kopp,1,11.1,3,1,3,33.3,1,3,33.3,0,0,0,0,0,0,0,0,0,0,3,-4
Moussa Cisse,2,14.6,3,1.5,3.5,42.9,0,0,0,0,0,0,2,2,4,0,0.5,0.5,1,2.5,-10
Rocco Zikarsky,2,6.5,3,1.5,2,75,0,0,0,0,0,0,1,1.5,2.5,0.5,0.5,0.5,0.5,1.5,1
Taevion Kinsey,2,8.4,3,1.5,2,75,0,0.5,0,0,0,0,0.5,1,1.5,0,0,1,0,0.5,-1
Tyreke Key,1,4.5,3,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,0,0,9
Bogoljub Marković,2,11.4,2.5,0.5,2.5,20,0.5,2,25,1,2,50,0.5,0.5,1,0.5,1,0,0,2,-8
Damion Baugh,2,10.9,2.5,1,3,33.3,0,0.5,0,0.5,2,25,0,0.5,0.5,1,1,0.5,0.5,1.5,2
Jamarion Sharp,2,17.8,2.5,1,1.5,66.7,0,0,0,0.5,1,50,1.5,3,4.5,0,1.5,0.5,1.5,2,3
Sean Pedulla,2,11.7,2.5,1,4,25,0.5,1.5,33.3,0,0,0,0,2.5,2.5,1.5,0.5,1,0,1.5,6
Trey Alexander,2,16.2,2.5,0.5,4,12.5,0,1,0,1.5,2,75,0,1,1,1,1.5,0,0,1,-5
Andrew Carr,2,10.1,2,1,2.5,40,0,1,0,0,0,0,0.5,2.5,3,0.5,0.5,0,0.5,1,-1
Blake Hinson,1,8.9,2,1,6,16.7,0,5,0,0,0,0,0,0,0,0,2,0,1,1,-13
Christian Shumate,1,13.2,2,1,2,50,0,0,0,0,0,0,2,1,3,1,2,1,0,1,-2
Chucky Hepburn,1,14,2,1,5,20,0,4,0,0,0,0,1,2,3,4,1,1,0,4,7
Clifford Omoruyi,1,4.5,2,0,0,0,0,0,0,2,4,50,0,0,0,1,0,0,1,1,9
Dwight Murray Jr.,1,9.9,2,1,4,25,0,0,0,0,0,0,0,1,1,3,0,0,0,1,-6
Erik Reynolds II,2,8.3,2,1,2.5,40,0,1.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0.5,-10
Great Osobor,1,4,2,1,1,100,0,0,0,0,2,0,0,2,2,0,1,1,0,0,7
Isaiah Wong,1,8.5,2,1,4,25,0,2,0,0,0,0,0,1,1,0,0,0,0,0,5
Kobe Johnson,1,15.4,2,1,3,33.3,0,1,0,0,0,0,2,1,3,0,2,1,0,1,-14
Kylor Kelley,1,22.6,2,1,4,25,0,0,0,0,0,0,1,9,10,0,2,1,0,5,-12
Landers Nolley II,1,5.8,2,0,0,0,0,0,0,2,2,100,0,0,0,2,0,0,0,0,-7
Luka Scuka,1,9,2,1,4,25,0,1,0,0,2,0,0,1,1,1,0,0,0,2,-2
Marques Bolden,1,9,2,0,3,0,0,2,0,2,2,100,1,0,1,0,0,0,1,1,-16
Max Abmas,1,16.2,2,1,6,16.7,0,2,0,0,0,0,0,0,0,0,1,2,0,3,-5
Saint Thomas,2,4.4,2,1,2,50,0,0.5,0,0,0,0,0.5,0.5,1,0,0,0,0,0.5,-8
TJ Bamba,1,12.5,2,0,7,0,0,4,0,2,2,100,1,0,1,0,1,2,0,2,-4
