Player,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus ,MSR,Contract Status,Euro Archetype Tag
Cam Christie,1,34.0,21,6,12,0.5,3,9,0.3329999999999999,6,8,0.75,2,4,6,2,3,2,0,3,4,14.165,Unknown,Unassigned
Cody Williams,1,26.7,21,8,19,0.421,3,11,0.273,2,2,1.0,1,2,3,1,1,1,0,2,1,13.705,Unknown,Unassigned
Javon Freeman-Liberty,1,24.4,21,5,6,0.833,1,2,0.5,10,13,0.769,0,2,2,0,4,1,1,3,-23,14.13,Unknown,Unassigned
KJ Simpson,1,29.0,21,8,15,0.5329999999999999,4,9,0.444,1,1,1.0,1,2,3,5,4,3,0,1,-2,15.135,Unknown,3&D Wing
Ryan Nembhard,1,32.6,21,8,14,0.5710000000000001,1,2,0.5,4,4,1.0,0,2,2,5,3,1,0,2,6,15.735,Unknown,3&D Wing
Walter Clayton Jr.,1,27.2,21,8,17,0.471,4,10,0.4,1,2,0.5,0,6,6,3,2,0,1,6,2,12.665,Unknown,Unassigned
Ajay Mitchell,1,29.0,20,6,13,0.462,2,5,0.4,6,7,0.857,1,4,5,2,6,2,1,4,15,14.995,Unknown,Unassigned
Jaylon Tyson,1,32.0,20,8,17,0.471,3,8,0.375,1,1,1.0,2,2,4,12,4,2,1,7,-3,15.28,Unknown,Unassigned
Leonard Miller,1,27.7,20,9,17,0.529,0,6,0.0,2,2,1.0,2,7,9,0,3,2,4,6,-5,13.23,Unknown,Stretch Big / Rim Protector
Lester Quinones,1,20.7,20,7,12,0.583,5,8,0.625,1,2,0.5,0,2,2,2,3,1,0,6,3,13.275,Unknown,Unassigned
Terrence Shannon Jr.,1,31.5,20,6,14,0.429,2,9,0.222,6,6,1.0,0,6,6,9,3,2,0,3,10,14.93,Unknown,Unassigned
Tidjane Salaün,1,27.2,20,6,11,0.545,2,6,0.3329999999999999,6,9,0.667,1,6,7,1,2,0,0,5,-4,12.985,Unknown,Unassigned
Chris Youngblood,1,25.6,19,7,10,0.7,3,5,0.6,2,3,0.667,3,2,5,0,2,2,0,2,23,15.515,Unknown,3&D Wing
Enrique Freeman,1,30.3,19,5,9,0.556,0,2,0.0,9,12,0.75,3,4,7,3,1,1,2,4,8,12.495,Unknown,Stretch Big / Rim Protector
Jacob Toppin,1,26.7,19,7,13,0.5379999999999999,1,3,0.3329999999999999,4,6,0.667,5,5,10,2,1,0,0,1,21,13.925,Unknown,Unassigned
Koby Brea,1,23.8,19,7,10,0.7,4,5,0.8,1,1,1.0,0,3,3,0,4,1,0,1,0,16.64,Unknown,3&D Wing
Tristan da Silva,1,28.2,19,8,15,0.5329999999999999,2,6,0.3329999999999999,1,2,0.5,1,6,7,5,3,0,1,4,-7,11.89,Unknown,Unassigned
Caleb Love,1,23.4,18,7,16,0.4379999999999999,4,7,0.5710000000000001,0,0,0.0,0,6,6,2,2,1,0,3,25,11.065,Unknown,Unassigned
Chris Livingston,1,26.6,18,7,12,0.583,3,6,0.5,1,2,0.5,0,3,3,2,0,0,0,1,2,12.245,Unknown,Unassigned
Cormac Ryan,1,22.4,18,6,11,0.545,3,6,0.5,3,3,1.0,0,0,0,2,1,1,0,2,16,14.945,Unknown,3&D Wing
Daniss Jenkins,1,21.5,18,7,11,0.636,3,5,0.6,1,1,1.0,0,3,3,3,1,1,2,1,19,16.205,Unknown,3&D Wing
Javonte Cooke,1,22.9,18,7,15,0.467,4,8,0.5,0,0,0.0,0,6,6,2,1,1,0,4,9,10.03,Unknown,Unassigned
Nikola Topić,1,29.5,18,7,18,0.389,2,6,0.3329999999999999,2,2,1.0,2,2,4,6,3,1,0,4,17,14.785,Unknown,Unassigned
Tre Johnson,1,27.8,18,7,13,0.5379999999999999,3,5,0.6,1,2,0.5,2,1,3,2,3,1,0,0,-16,11.83,Unknown,3&D Wing
Jordan Walsh,1,27.1,17,6,12,0.5,3,6,0.5,2,4,0.5,0,3,3,2,3,0,0,1,6,12.255,Unknown,Unassigned
Mason Jones,1,32.1,17,5,10,0.5,3,7,0.429,4,6,0.667,1,4,5,5,1,2,0,3,2,13.335,Unknown,Euro Facilitator
Matas Buzelis,1,25.0,17,4,14,0.286,2,8,0.25,7,7,1.0,0,5,5,1,4,1,2,3,-23,11.78,Unknown,Unassigned
Miles Kelly,1,28.6,17,6,12,0.5,3,8,0.375,2,2,1.0,2,2,4,2,0,1,0,4,-9,13.605,Unknown,Unassigned
Nique Clifford,1,24.9,17,5,12,0.417,1,3,0.3329999999999999,6,10,0.6,0,4,4,3,1,2,1,4,2,11.745,Unknown,Unassigned
Norchad Omier,1,25.2,17,7,10,0.7,0,1,0.0,3,5,0.6,3,6,9,0,4,2,1,6,-1,11.41,Unknown,Unassigned
Pacôme Dadiet,1,24.7,17,8,13,0.615,1,3,0.3329999999999999,0,1,0.0,1,0,1,1,3,0,1,3,-15,7.875,Unknown,Unassigned
Ryan Dunn,1,28.9,17,7,12,0.583,2,5,0.4,1,2,0.5,1,4,5,4,1,2,0,2,13,12.76,Unknown,3&D Wing
Alijah Martin,1,21.3,16,6,12,0.5,2,4,0.5,2,2,1.0,0,5,5,5,3,2,0,2,36,16.165,Unknown,3&D Wing
Boogie Ellis,1,19.0,16,4,8,0.5,4,6,0.667,4,4,1.0,0,4,4,3,3,0,0,2,25,16.135,Unknown,Unassigned
Ethan Thompson,1,24.8,16,4,10,0.4,3,6,0.5,5,5,1.0,0,0,0,1,3,0,1,7,-2,13.69,Unknown,Unassigned
GG Jackson,1,29.0,16,5,10,0.5,1,3,0.3329999999999999,5,9,0.556,1,3,4,2,2,0,0,2,-3,11.395,Unknown,Unassigned
Isaiah Collier,1,28.1,16,6,10,0.6,2,3,0.667,2,2,1.0,2,4,6,9,6,2,0,3,-2,16.29,Unknown,Unassigned
Maxime Raynaud,1,26.3,16,6,11,0.545,2,5,0.4,2,2,1.0,3,3,6,2,0,1,0,2,5,14.34,Unknown,3&D Wing
Pelle Larsson,1,26.6,16,3,10,0.3,1,7,0.143,9,11,0.818,0,2,2,3,3,1,0,3,-7,10.835,Unknown,Unassigned
Tolu Smith,1,26.4,16,6,13,0.462,0,0,0.0,4,7,0.5710000000000001,6,5,11,2,3,1,2,5,22,11.635,Unknown,Unassigned
Alex Sarr,1,30.6,15,5,10,0.5,1,3,0.3329999999999999,4,4,1.0,1,3,4,2,4,1,3,2,-14,13.095,Unknown,Unassigned
Cam Spencer,1,25.2,15,4,9,0.444,2,4,0.5,5,5,1.0,3,0,3,2,4,0,0,6,-5,13.83,Unknown,Unassigned
DaRon Holmes II,1,23.7,15,6,9,0.667,3,5,0.6,0,0,0.0,1,3,4,1,2,0,1,3,-4,9.97,Unknown,Unassigned
Dalton Knecht,1,25.8,15,6,16,0.375,3,7,0.429,0,0,0.0,2,2,4,2,0,1,0,1,10,8.76,Unknown,3&D Wing
Jonathan Mogbo,1,20.5,15,7,8,0.875,0,0,0.0,1,2,0.5,2,1,3,2,3,3,1,1,29,11.8,Unknown,Unassigned
MarJon Beauchamp,1,26.1,15,6,15,0.4,0,4,0.0,3,5,0.6,1,1,2,0,1,0,1,2,-24,7.905,Unknown,Unassigned
Phillip Wheeler,1,17.9,15,6,8,0.75,1,1,1.0,2,2,1.0,3,1,4,0,2,0,2,4,4,17.395,Unknown,Unassigned
Rob Dillingham,1,30.1,15,4,14,0.286,3,6,0.5,4,4,1.0,0,3,3,6,7,2,0,2,5,14.335,Unknown,3&D Wing
Armando Bacot,1,22.8,14,7,13,0.5379999999999999,0,4,0.0,0,0,0.0,1,5,6,2,2,0,1,7,-1,6.88,Unknown,Unassigned
Charles Bassey,1,18.5,14,7,8,0.875,0,0,0.0,0,0,0.0,7,4,11,0,1,0,2,0,20,9.0,Unknown,Unassigned
DJ Steward,1,26.0,14,6,14,0.429,2,2,1.0,0,0,0.0,2,5,7,5,2,2,0,2,11,12.145,Unknown,3&D Wing
Dexter Dennis,1,18.0,14,4,4,1.0,4,4,1.0,2,4,0.5,0,1,1,0,0,0,0,2,18,16.3,Unknown,Unassigned
Jase Richardson,1,22.3,14,5,8,0.625,2,3,0.667,2,2,1.0,0,1,1,1,1,1,0,4,4,15.025,Unknown,Unassigned
Jeremiah Fears,1,26.6,14,4,12,0.3329999999999999,1,4,0.25,5,6,0.833,1,1,2,2,7,2,0,6,-13,11.11,Unknown,Unassigned
Khaman Maluach,1,21.0,14,5,13,0.385,1,6,0.1669999999999999,3,4,0.75,1,4,5,1,2,1,2,2,-6,10.46,Unknown,Unassigned
Kobe Brown,1,20.2,14,5,7,0.7140000000000001,2,3,0.667,2,2,1.0,2,2,4,4,3,2,0,1,1,15.615,Unknown,3&D Wing
Riley Minix,1,21.0,14,5,10,0.5,3,7,0.429,1,1,1.0,2,3,5,2,1,0,0,2,26,14.795,Unknown,Unassigned
Skal Labissiere,1,17.4,14,5,8,0.625,0,2,0.0,4,4,1.0,1,4,5,1,1,0,2,3,9,12.145,Unknown,Unassigned
Tyrese Proctor,1,27.9,14,5,13,0.385,3,7,0.429,1,1,1.0,1,0,1,2,1,2,0,2,-3,12.965,Unknown,3&D Wing
Derik Queen,1,26.5,13,5,9,0.556,1,1,1.0,2,4,0.5,2,8,10,3,7,0,0,3,-6,14.705,Unknown,Unassigned
Jamaree Bouyea,1,26.4,13,5,13,0.385,3,7,0.429,0,0,0.0,0,3,3,5,0,1,1,2,5,8.44,Unknown,3&D Wing
Jamison Battle,1,21.5,13,5,7,0.7140000000000001,3,5,0.6,0,0,0.0,0,0,0,1,3,1,0,3,9,10.145,Unknown,Unassigned
Jaylen Sims,1,16.7,13,5,6,0.833,0,0,0.0,3,4,0.75,3,3,6,2,0,3,0,2,16,12.05,Unknown,Unassigned
Jaylen Wells,1,23.5,13,3,10,0.3,2,7,0.286,5,5,1.0,0,3,3,3,3,2,1,5,-8,11.955,Unknown,Unassigned
Kevin McCullar Jr.,1,27.8,13,5,14,0.357,1,5,0.2,2,2,1.0,3,3,6,3,3,1,0,3,-18,11.475,Unknown,Unassigned
Nolan Traore,1,26.1,13,3,5,0.6,1,3,0.3329999999999999,6,6,1.0,1,2,3,3,3,0,0,3,1,13.62,Unknown,Unassigned
Pete Nance,1,26.7,13,4,9,0.444,2,6,0.3329999999999999,3,5,0.6,0,7,7,4,3,1,1,0,6,11.77,Unknown,Unassigned
Tosan Evbuomwan,1,24.3,13,4,8,0.5,1,2,0.5,4,4,1.0,1,3,4,3,5,1,1,5,-3,14.015,Unknown,Unassigned
