Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,AST/G,TOV/G,REB/G,STL/G,BLK/G,FTA/G,3PM/G,PF/G,Euro Archetype Tag
Gabe Madsen,6.1507,12.6,15,5,8,0.625,4,6.5,0.615,1,1.5,0.667,1,0,1,0.5,1.5,1,0,0,1,0.25,0.75,0.5,0.5,0,0.75,2,0,
Jordan Walsh,10.5864,26,15,4,11,0.364,2,6,0.333,5,7.5,0.667,0.5,3,3.5,2,2.5,0.5,0,4,12,1,1.25,1.75,0.25,0,3.75,1,2,
Kasparas Jakučionis,7.8884,26.4,15,4.5,8.5,0.529,2.5,5.5,0.455,3.5,3.5,1,0,3,3,3,2.5,1.5,0,3.5,-9,1.5,1.25,1.5,0.75,0,1.75,1.25,1.75,
Pelle Larsson,8.0997,27,15,3,8,0.375,1.5,4.5,0.333,7.5,9.5,0.789,0,2.5,2.5,2.5,4,1,0,2,-11,1.25,2,1.25,0.5,0,4.75,0.75,1,
Rob Dillingham,11.0562,29.8,15,5,14.5,0.345,2.5,6,0.417,2.5,2.5,1,0.5,3,3.5,7.5,5.5,2.5,0,1.5,7,3.75,2.75,1.75,1.25,0,1.25,1.25,0.75,3&D Wing
Jeremiah Fears,8.6873,27.6,14.5,4.5,16.5,0.273,1,5.5,0.182,4.5,5.5,0.818,0.5,1.5,2,1,5,1,0,6,-11,0.5,2.5,1,0.5,0,2.75,0.5,3,
Lester Quinones,8.3047,21.5,14.5,5,10.5,0.476,4,7,0.571,0.5,1,0.5,0,3.5,3.5,2,2,2,0,5.5,-1,1,1,1.75,1,0,0.5,2,2.75,
Oso Ighodaro,10.152,30.6,14.5,6,8.5,0.706,0,0,0,2.5,3.5,0.714,4,7.5,11.5,2.5,4,3,1,3,-2,1.25,2,5.75,1.5,0.5,1.75,0,1.5,
Pete Nance,9.2305,28,14.3,5.3,10.3,0.516,2,5.3,0.375,1.7,2.3,0.714,1,5.3,6.3,2,1.3,1.3,2,3.3,-1,0.6666666667,0.4333333333,2.1,0.4333333333,0.6666666667,0.7666666667,0.6666666667,1.1,
Armando Bacot,9.28,22.8,14,5.5,11,0.5,0,2,0,3,3,1,3.5,5.5,9,2,1.5,0.5,2.5,5.5,0,1,0.75,4.5,0.25,1.25,1.5,0,2.75,
Ja'Kobe Walter,9.5295,21.5,14,5,13.5,0.37,1.5,5,0.3,2.5,4,0.625,0.5,3,3.5,1,3.5,1.5,0.5,3.5,10,0.5,1.75,1.75,0.75,0.25,2,0.75,1.75,
Khaman Maluach,8.0302,21,14,5,13,0.385,1,6,0.167,3,4,0.75,1,4,5,1,2,1,2,2,-6,1,2,5,1,2,4,1,2,3&D Wing
