Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,AST/G,TOV/G,REB/G,STL/G,BLK/G,FTA/G,3PM/G,PF/G,Euro Archetype Tag
Markquis Nowell,5.0853,18.1,3.7,1,4.3,0.231,0.7,3,0.222,1,1.7,0.6,0.3,1.3,1.7,6.3,1.7,1,0.3,1.7,2,2.1,0.5666666667,0.5666666667,0.3333333333,0.1,0.5666666667,0.2333333333,0.5666666667,
Blake Hinson,2.8154,10.9,3.5,1,6.5,0.154,0.5,5,0.1,1,1,1,0,0.5,0.5,0.5,1,0,0.5,0.5,-6,0.25,0.5,0.25,0,0.25,0.5,0.25,0.25,
Carter Bryant,7.2588,22.9,3.5,0.5,6.5,0.077,0.5,4.5,0.111,2,2,1,0.5,3,3.5,1.5,3,0.5,2,3,12,0.75,1.5,1.75,0.25,1,1,0.25,1.5,
Chaney Johnson,5.4915,15.4,3.5,1,5.5,0.182,0.5,1.5,0.333,1,1,1,1.5,2.5,4,0.5,2,0.5,0.5,3.5,9,0.25,1,2,0.25,0.25,0.5,0.25,1.75,
Hunter Dickinson,3.8033,12.1,3.5,1.5,2.5,0.6,0,0.5,0,0.5,1.5,0.333,0.5,2,2.5,1.5,1.5,0.5,1.5,2,3,0.75,0.75,1.25,0.25,0.75,0.75,0,1,
Isaiah Mobley,6.8881,23.1,3.5,0.5,7.5,0.067,0,3.5,0,2.5,3.5,0.714,1,4.5,5.5,2.5,4,0,0.5,4,2,1.25,2,2.75,0,0.25,1.75,0,2,
Khalif Battle,4.0433,16.9,3.5,0.5,2.5,0.2,0,0.5,0,2.5,3,0.833,0,1.5,1.5,1,2,0.5,0.5,2,1,0.5,1,0.75,0.25,0.25,1.5,0,1,
Olivier Nkamhoua,2.6862,12.1,3.5,1.5,3.5,0.429,0.5,1.5,0.333,0,0,0,1,0.5,1.5,1,1,0,0,0.5,-2,0.5,0.5,0.75,0,0,0,0.25,0.25,
Yuki Kawamura,3.5922,20.5,3.5,1,5,0.2,1,4.5,0.222,0.5,1,0.5,0,2,2,3.5,4,2,0,3.5,-19,1.75,2,1,1,0,0.5,0.5,1.75,3&D Wing
Andrew Funk,3.08,13.8,3,1,2,0.5,1,2,0.5,0,0,0,0,0,0,2,0,0,0,1,4,2,0,0,0,0,0,1,1,
DaJaun Gordon,3.2315,13.3,3,1,5.5,0.182,1,3,0.333,0,0,0,2,1.5,3.5,0.5,1,1.5,0,2,-7,0.25,0.5,1.75,0.75,0,0,0.5,1,
David Muoka,1.7553,14.6,3,1,3.5,0.286,0,0,0,1,1.5,0.667,1,2,3,1,1,1,0,1,-18,0.5,0.5,1.5,0.5,0,0.75,0,0.5,
Donovan Williams,4.275,13,3,1,4,0.25,0,1,0,1,2,0.5,2,3,5,1,0,2,3,1,0,1,0,5,2,3,2,0,1,
Dwight Murray Jr.,2.78,9.8,3,1.5,3,0.5,0,0,0,0,0,0,0,0.5,0.5,2.5,1,0,0,0.5,5,1.25,0.5,0.25,0,0,0,0,0.25,
Izan Almansa,0.89,4.4,3,1,1,1,0,0,0,1,1,1,0,0.5,0.5,0,0.5,0.5,0,0.5,-7,0,0.25,0.25,0.25,0,0.5,0,0.25,
Jalen Crutcher,2.1833,14.6,3,1,3,0.333,1,2.5,0.4,0,1,0,0,0,0,2,1.5,0,0,0.5,-9,1,0.75,0,0,0,0.5,0.5,0.25,
James Nnaji,2.4367,10.2,3,0.5,0.5,1,0,0,0,2,3,0.667,0,0.5,0.5,0,1,1.5,0.5,3.5,-4,0,0.5,0.25,0.75,0.25,1.5,0,1.75,
Keyontae Johnson,2.9233,12.4,3,1,3,0.333,0,1,0,1,2,0.5,1,1,2,2,0,0,0,3,-4,2,0,2,0,0,2,0,3,
Luka Scuka,2.8278,9.5,3,0.5,4.5,0.111,0,2.5,0,2,3,0.667,1,1,2,0.5,0,0,0,2,-4,0.25,0,1,0,0,1.5,0,1,
Moussa Cisse,2.5529,14.6,3,1.5,3.5,0.429,0,0,0,0,0,0,2,2,4,0,0.5,0.5,1,2.5,-10,0,0.25,2,0.25,0.5,0,0,1.25,
Rocco Zikarsky,2.325,6.5,3,1.5,2,0.75,0,0,0,0,0,0,1,1.5,2.5,0.5,0.5,0.5,0.5,1.5,1,0.25,0.25,1.25,0.25,0.25,0,0,0.75,
Taevion Kinsey,1.965,8.4,3,1.5,2,0.75,0,0.5,0,0,0,0,0.5,1,1.5,0,0,1,0,0.5,-1,0,0,0.75,0.5,0,0,0,0.25,
Tyreke Key,2.25,4.5,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,
Colin Castleton,4.0686,12.4,2.5,1,3.5,0.286,0.5,1,0.5,0,0,0,2.5,2,4.5,0,2,0.5,0.5,2,5,0,1,2.25,0.25,0.25,0,0.25,1,
Damion Baugh,2.8483,10.9,2.5,1,3,0.333,0,0.5,0,0.5,2,0.25,0,0.5,0.5,1,1,0.5,0.5,1.5,2,0.5,0.5,0.25,0.25,0.25,1,0,0.75,
Elijah Harkless,4.2193,17.8,2.5,0.5,3.5,0.143,0,2.5,0,1.5,2,0.75,0.5,0.5,1,1.5,1,2.5,0,3,1,0.75,0.5,0.5,1.25,0,1,0,1.5,
Jamarion Sharp,4.2967,17.8,2.5,1,1.5,0.667,0,0,0,0.5,1,0.5,1.5,3,4.5,0,1.5,0.5,1.5,2,3,0,0.75,2.25,0.25,0.75,0.5,0,1,
Mylik Wilson,2.3267,6.6,2.5,1,1.5,0.667,0,0,0,0.5,0.5,1,0.5,1,1.5,0.5,0.5,1,0,1,3,0.25,0.25,0.75,0.5,0,0.25,0,0.5,
Sean Pedulla,3.7283,11.7,2.5,1,4,0.25,0.5,1.5,0.333,0,0,0,0,2.5,2.5,1.5,0.5,1,0,1.5,6,0.75,0.25,1.25,0.5,0,0,0.25,0.75,
TJ Bamba,3.912,15.9,2.5,0.5,6.5,0.077,0.5,3.5,0.143,1,2,0.5,1.5,1,2.5,1,0.5,1,0,2.5,-4,0.5,0.25,1.25,0.5,0,1,0.25,1.25,
Trey Alexander,2.9075,16.2,2.5,0.5,4,0.125,0,1,0,1.5,2,0.75,0,1,1,1,1.5,0,0,1,-5,0.5,0.75,0.5,0,0,1,0,0.5,
Yudai Baba,1.6867,2.2,2.5,1,1.5,0.667,0,0,0,0.5,1,0.5,1,0,1,0,0,0,0,0,5,0,0,0.5,0,0,0.5,0,0,
Andrew Carr,2.45,10.1,2,1,2.5,0.4,0,1,0,0,0,0,0.5,2.5,3,0.5,0.5,0,0.5,1,-1,0.25,0.25,1.5,0,0.25,0,0,0.5,
Christian Shumate,2.77,13.2,2,1,2,0.5,0,0,0,0,0,0,2,1,3,1,2,1,0,1,-2,1,2,3,1,0,0,0,1,
Clifford Omoruyi,2.5,4.5,2,0,0,0,0,0,0,2,4,0.5,0,0,0,1,0,0,1,1,9,1,0,0,0,1,4,0,1,
D'Andre Davis,0.69,3.4,2,1,2,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,
Erik Reynolds II,0.72,8.3,2,1,2.5,0.4,0,1.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0.5,-10,0,0.25,0,0,0,0.25,0,0.25,
Great Osobor,2.93,6.9,2,1,2.5,0.4,0,0,0,0,1,0,1,2,3,0.5,0.5,1,0,1.5,6,0.25,0.25,1.5,0.5,0,0.5,0,0.75,
Isaiah Wong,3.135,13.1,2,1,4,0.25,0,1,0,0,0,0,0,0.5,0.5,0.5,1.5,1,0,2,4,0.25,0.75,0.25,0.5,0,0,0,1,
John Poulakidas,3.3082,11.9,2,1,5.5,0.182,0,3.5,0,0,0.5,0,0,1,1,1.5,0,0.5,0,1.5,3,0.75,0,0.5,0.25,0,0.25,0,0.75,
Kylor Kelley,4.0433,20.6,2,1,3,0.333,0,0,0,0,0,0,1.5,5,6.5,0,3.5,0.5,0.5,4,-8,0,1.75,3.25,0.25,0.25,0,0,2,
Landers Nolley II,0.78,5.8,2,0,0,0,0,0,0,2,2,1,0,0,0,2,0,0,0,0,-7,2,0,0,0,0,2,0,0,
Marques Bolden,0.9,9,2,0,3,0,0,2,0,2,2,1,1,0,1,0,0,0,1,1,-16,0,0,1,0,1,2,0,1,
Saint Thomas,0.49,4.4,2,1,2,0.5,0,0.5,0,0,0,0,0.5,0.5,1,0,0,0,0,0.5,-8,0,0,0.5,0,0,0,0,0.25,
Selton Miguel,2.1033,4.7,2,1,3,0.333,0,1,0,0,0,0,0,1,1,0,0,0,0,1,6,0,0,1,0,0,0,0,1,
Trey Jemison III,2.94,11.4,2,1,1,1,0,0,0,0,0,0,1,2,3,2,2,1,0,1,1,2,2,3,1,0,0,0,1,
Zack Austin,1.32,10.2,2,0,2,0,0,2,0,2,2,1,0,0,0,0,0,1,0,0,-9,0,0,0,1,0,2,0,0,
Anton Watson,1.44,6.9,1.5,0.5,2,0.25,0.5,2,0.25,0,0,0,1.5,0.5,2,1,0.5,0,0,1,-6,0.5,0.25,1,0,0,0,0.25,0.5,
Biwali Bayles,1.58,2.8,1.5,0.5,1,0.5,0.5,1,0.5,0,0,0,0,0,0,0.5,0,0.5,0.5,1,5,0.25,0,0,0.25,0.25,0,0.25,0.5,
Justin McKoy,1.875,5.5,1.5,0,1.5,0,0,1,0,1.5,2,0.75,0,0.5,0.5,0,0,0.5,0,0.5,3,0,0,0.25,0.25,0,1,0,0.25,
Miller Kopp,1.44,11,1.5,0.5,2.5,0.2,0.5,2.5,0.2,0,0,0,0,0,0,0,0,0,0,2.5,-7,0,0,0,0,0,0,0.25,1.25,
Nate Hinton,2.53,11.5,1.5,0.5,5,0.1,0.5,2.5,0.2,0,0,0,1,2,3,0,0,0.5,0.5,3.5,-7,0,0,1.5,0.25,0.25,0,0.25,1.75,
Yanic Konan Niederhäuser,5.8,24.8,1.5,0.5,2.5,0.2,0,0.5,0,0.5,1,0.5,1,5.5,6.5,0,1,2,2.5,3.5,4,0,0.5,3.25,1,1.25,0.5,0,1.75,
Chase Hunter,3.1811,12.2,1,0.5,4.5,0.111,0,2,0,0,0,0,0.5,2,2.5,1,2.5,0.5,0,1.5,1,0.5,1.25,1.25,0.25,0,0,0,0.75,
Ibrahima Diallo,3.54,9.4,1,0.5,1,0.5,0,0,0,0,1,0,0,2.5,2.5,1,1.5,0,1,1.5,12,0.5,0.75,1.25,0,0.5,0.5,0,0.75,
Jeremy Jones,3.0225,13.1,1,0.5,4,0.125,0,3,0,0,0,0,0.5,1,1.5,0.5,0.5,0.5,0,0,4,0.25,0.25,0.75,0.25,0,0,0,0,
John Ukomadu,4.2,15.5,1,0,4,0,0,3,0,1,2,0.5,1,1,2,0,1,0,1,5,4,0,1,2,0,1,2,0,5,
Julian Reese,1.82,7.7,1,0,1,0,0,0,0,1,2,0.5,1,1,2,1,2,0,0,2,-4,1,2,2,0,0,2,0,2,
Stefan Todorovic,0.82,6.7,1,0,2,0,0,0,0,1,2,0.5,0,1,1,0,1,0,0,0,-8,0,1,1,0,0,2,0,0,
Cam Matthews,3.115,23.9,0.5,0,3.5,0,0,1,0,0.5,2,0.25,1.5,2.5,4,1,1,1,0.5,2,-14,0.5,0.5,2,0.5,0.25,1,0,1,
Moses Brown,1.34,4.4,0.5,0,0.5,0,0,0,0,0.5,1,0.5,1.5,2.5,4,0.5,0.5,0,0,1,-4,0.25,0.25,2,0,0,0.5,0,0.5,
Aaron Scott,0.43,5.3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,-9,0,1,0,1,0,0,0,0,
Ben Gregg,-0.31,1.9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-7,0,0,1,0,0,0,0,0,
Buddy Boeheim,0.95,8.5,0,0,3.5,0,0,3.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0.5,-8,0.25,0,0.25,0,0,0,0,0.25,
Cameron Brown,0.9,13,0,0,1,0,0,0.5,0,0,0,0,0,2,2,0.5,0,1,0.5,1.5,-13,0.25,0,1,0.5,0.25,0,0,0.75,
Cesare Edwards,0.72,4.2,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,-4,1,0,1,0,1,0,0,1,
D.J. Rodman,0.68,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,0,0,0,0,0,0,1,
Dillon Jones,1.07,8.7,0,0,2,0,0,2,0,0,0,0,0,1,1,0,1,0,0,2,-7,0,1,1,0,0,0,0,2,
Dylan Cardwell,2.13,10.3,0,0,1,0,0,0,0,0,0,0,0.5,2,2.5,0,0.5,0,0.5,2,2,0,0.25,1.25,0,0.25,0,0,1,
Efton Reid III,-0.37,1.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,
Hayden Gray,-0.31,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-7,0,1,0,0,0,0,0,1,
Jaden Akins,0.5,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,-3,1,1,0,0,0,0,0,0,
Jaden Springer,1.18,16.8,0,0,2,0,0,1,0,0,0,0,1,2,3,1,1,0,0,2,-18,1,1,3,0,0,0,0,2,
Jahmyl Telfort,1.41,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0.5,0,1,3,0.75,0,0,0.25,0,0,0,0.5,
Jalen Hood-Schifino,1.91,21.1,0,0,4,0,0,1,0,0,0,0,1,1,2,0,1,1,0,6,-19,0,1,2,1,0,0,0,6,
Jalen Slawson,2.24,14.4,0,0,1,0,0,0,0,0,0,0,0,1,1,2,4,2,2,0,-5,2,4,1,2,2,0,0,0,
James Caron Butler Jr.,0.84,4.4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,-1,0,0,0,3,0,0,0,0,
Jaxson Robinson,1.74,9.9,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0.5,0,0,1,1,0.5,0.25,0,0,0,0,0,0.5,
Jordan Gainey,0.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,-6,2,0,0,1,1,0,0,0,
Josh Uduje,1.93,6.3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10,1,1,0,0,0,0,0,0,
Keisei Tominaga,0.58,1.8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,
Kerwin Walton,0.16,3.1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,-4,0,0,0,0,0,0,0,0.25,
Lance Ware,0.99,2.4,0,0,0.5,0,0,0,0,0,1,0,0.5,0,0.5,0,0,0,0,0,5,0,0,0.25,0,0,0.5,0,0,
Liam Robbins,0.79,5.9,0,0,1.5,0,0,1,0,0,0,0,0,0.5,0.5,0.5,1,0,0,1,-4,0.25,0.5,0.25,0,0,0,0,0.5,
Marcus Williams,2.14,12.4,0,0,3,0,0,2,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,
Nate Santos,1.23,6.8,0,0,1.5,0,0,1,0,0,0,0,0,2.5,2.5,0.5,1,0.5,0,1,-5,0.25,0.5,1.25,0.25,0,0,0,0.5,
Nathan Mensah,1.6,7,0,0,1,0,0,0,0,0,0,0,1,1,2,0,1,0,0,4,-1,0,1,2,0,0,0,0,4,
Noah Farrakhan,0.69,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,
Romeo Weems,-0.02,3.8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,1,
Steve Crowl,0.07,5.7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,-8,0,1,1,0,0,0,0,0,
Steve Settle III,1.18,12.8,0,0,2,0,0,0,0,0,0,0,0,1,1,0,2,1,0,3,-11,0,2,1,1,0,0,0,3,
T.J. Bickerstaff,4.02,17.2,0,0,4,0,0,0,0,0,0,0,3,4,7,2,1,2,0,1,-1,2,1,7,2,0,0,0,1,
TY Johnson,6.64,16.4,0,0,6,0,0,3,0,0,0,0,1,5,6,3,0,0,2,3,21,3,0,6,0,2,0,0,3,
Tyson Degenhart,1.85,4.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,9,0,0,1,0,0,0,0,3,
Wade Taylor IV,-0.52,5.8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,-17,1,1,0,0,0,0,0,2,
Zach Hicks,-0.21,1.9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,1,
