Player,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,MSR,MSR %,AST/G,TOV/G,REB/G,STL/G,BLK/G,FTA/G,3PM/G,PF/G,Euro Archetype Tag
Alex Sarr,1,30.6,15,5,10,0.5,1,3,0.333,4,4,1,1,3,4,2,4,1,3,2,-14,80.433,8.0433,2,4,4,1,3,4,1,2,
Antonio Reeves,2,22.5,15,5.5,11,0.5,0.5,2,0.25,3.5,3.5,1,1.5,2,3.5,0,0,2,0,2,-9,67.25,6.725,0,0,1.75,1,0,1.75,0.25,1,
Dalton Knecht,1,25.8,15,6,16,0.375,3,7,0.429,0,0,0,2,2,4,2,0,1,0,1,10,95.604,9.5604,2,0,4,1,0,0,3,1,3&D Wing
Jonathan Mogbo,1,20.5,15,7,8,0.875,0,0,0,1,2,0.5,2,1,3,2,3,3,1,1,29,99.875,9.9875,2,3,3,3,1,2,0,1,
MarJon Beauchamp,1,26.1,15,6,15,0.4,0,4,0,3,5,0.6,1,1,2,0,1,0,1,2,-24,59.1,5.91,0,1,2,0,1,5,0,2,
Rob Dillingham,2,29.8,15,5,14.5,0.345,2.5,6,0.417,2.5,2.5,1,0.5,3,3.5,7.5,5.5,2.5,0,1.5,7,110.562,11.0562,3.75,2.75,1.75,1.25,0,1.25,1.25,0.75,3&D Wing
Jeremiah Fears,2,27.6,14.5,4.5,16.5,0.273,1,5.5,0.182,4.5,5.5,0.818,0.5,1.5,2,1,5,1,0,6,-11,86.873,8.6873,0.5,2.5,1,0.5,0,2.75,0.5,3,
Lester Quinones,2,21.5,14.5,5,10.5,0.476,4,7,0.571,0.5,1,0.5,0,3.5,3.5,2,2,2,0,5.5,-1,83.047,8.3047,1,1,1.75,1,0,0.5,2,2.75,
Armando Bacot,2,22.8,14,5.5,11,0.5,0,2,0,3,3,1,3.5,5.5,9,2,1.5,0.5,2.5,5.5,0,92.8,9.28,1,0.75,4.5,0.25,1.25,1.5,0,2.75,
Charles Bassey,1,18.5,14,7,8,0.875,0,0,0,0,0,0,7,4,11,0,1,0,2,0,20,93.375,9.3375,0,1,11,0,2,0,0,0,
Jase Richardson,1,22.3,14,5,8,0.625,2,3,0.667,2,2,1,0,1,1,1,1,1,0,4,4,73.592,7.3592,1,1,1,1,0,2,2,4,
Khaman Maluach,1,21,14,5,13,0.385,1,6,0.167,3,4,0.75,1,4,5,1,2,1,2,2,-6,80.302,8.0302,1,2,5,1,2,4,1,2,
Kobe Brown,1,20.2,14,5,7,0.714,2,3,0.667,2,2,1,2,2,4,4,3,2,0,1,1,76.581,7.6581,4,3,4,2,0,2,2,1,3&D Wing
Miles Kelly,2,27.8,14,4.5,10,0.45,2.5,7,0.357,2.5,2.5,1,1,2,3,1,0.5,1.5,0.5,2.5,-2,82.607,8.2607,0.5,0.25,1.5,0.75,0.25,1.25,1.25,1.25,
RayJ Dennis,2,28.1,14,4.5,13,0.346,2,6,0.333,3,3.5,0.857,0.5,2.5,3,6.5,4.5,2,1,1,-4,92.636,9.2636,3.25,2.25,1.5,1,0.5,1.75,1,0.5,
Sidy Cissoko,2,24,14,5.5,10.5,0.524,1.5,4,0.375,1.5,1.5,1,0.5,4,4.5,2.5,3,2,0.5,4.5,12,97.899,9.7899,1.25,1.5,2.25,1,0.25,0.75,0.75,2.25,
Skal Labissiere,1,17.4,14,5,8,0.625,0,2,0,4,4,1,1,4,5,1,1,0,2,3,9,82.025,8.2025,1,1,5,0,2,4,0,3,
Dominick Barlow,2,22.1,13.5,6,10,0.6,0.5,2.5,0.2,1,1,1,4,3,7,1.5,1,1.5,0,2.5,-7,71.9,7.19,0.75,0.5,3.5,0.75,0,0.5,0.25,1.25,
James Bouknight,2,21.9,13,3.5,5.5,0.636,1.5,3,0.5,4.5,4.5,1,0.5,5,5.5,4,2.5,1.5,1.5,0.5,10,90.536,9.0536,2,1.25,2.75,0.75,0.75,2.25,0.75,0.25,
Jamison Battle,1,21.5,13,5,7,0.714,3,5,0.6,0,0,0,0,0,0,1,3,1,0,3,9,72.814,7.2814,1,3,0,1,0,0,3,3,
Kevin McCullar Jr.,1,27.8,13,5,14,0.357,1,5,0.2,2,2,1,3,3,6,3,3,1,0,3,-18,75.357,7.5357,3,3,6,1,0,2,1,3,
Leonard Miller,2,23.4,13,5.5,13,0.423,1,5.5,0.182,1,1,1,1,7,8,0.5,2.5,1.5,2.5,3.5,-1,90.505,9.0505,0.25,1.25,4,0.75,1.25,0.5,0.5,1.75,
Nolan Traore,1,26.1,13,3,5,0.6,1,3,0.333,6,6,1,1,2,3,3,3,0,0,3,1,81.033,8.1033,3,3,3,0,0,6,1,3,
Rayan Rupert,2,23.7,13,3,6,0.5,1.5,2,0.75,5.5,5.5,1,1.5,4.5,6,3.5,2,2,0,3.5,11,96.45,9.645,1.75,1,3,1,0,2.75,0.75,1.75,3&D Wing
Tosan Evbuomwan,1,24.3,13,4,8,0.5,1,2,0.5,4,4,1,1,3,4,3,5,1,1,5,-3,82.3,8.23,3,5,4,1,1,4,1,5,
Trentyn Flowers,1,27.6,13,5,11,0.455,1,5,0.2,2,3,0.667,3,3,6,1,4,1,0,3,7,96.922,9.6922,1,4,6,1,0,3,1,3,
Tyrese Proctor,2,28.5,13,4,12,0.333,3,7.5,0.4,2,3.5,0.571,0.5,2.5,3,3,1,1.5,0.5,2,2,90.804,9.0804,1.5,0.5,1.5,0.75,0.25,1.75,1.5,1,
Derik Queen,2,26.7,12.5,4.5,10.5,0.429,0.5,1,0.5,3,5,0.6,2.5,9,11.5,2,4.5,0.5,0.5,5,-4,96.729,9.6729,1,2.25,5.75,0.25,0.25,2.5,0.25,2.5,
Hunter Tyson,2,28.5,12.5,4.5,14,0.321,1.5,5.5,0.273,2,3,0.667,1,8,9,1,1,1,0,1,-8,86.761,8.6761,0.5,0.5,4.5,0.5,0,1.5,0.75,0.5,
Jaylen Sims,2,20.2,12.5,4.5,6,0.75,0.5,1,0.5,3,4,0.75,2,2,4,1.5,1.5,2.5,0,1.5,7,75.7,7.57,0.75,0.75,2,1.25,0,2,0.25,0.75,3&D Wing
Nikola Topić,2,25.9,12.5,4.5,12,0.375,1.5,3.5,0.429,2,2,1,1,1.5,2.5,8,3,1.5,0,3,17,103.204,10.3204,4,1.5,1.25,0.75,0,1,0.75,1.5,
Pete Nance,2,28.1,12.5,4.5,10,0.45,2,5,0.4,1.5,2.5,0.6,0.5,5,5.5,2.5,1.5,1,2,3,4,92.55,9.255,1.25,0.75,2.75,0.5,1,1.25,1,1.5,
Adam Flagler,1,20.4,12,4,8,0.5,1,5,0.2,3,4,0.75,1,1,2,2,0,1,0,2,0,67.85,6.785,2,0,2,1,0,4,1,2,
Cormac Ryan,2,19.5,12,3.5,9,0.389,2,5.5,0.364,3,3.5,0.857,0,0,0,1,1.5,1,0.5,2,-1,64.61,6.461,0.5,0.75,0,0.5,0.25,1.75,1,1,
Eli John Ndiaye,1,20.8,12,4,8,0.5,1,4,0.25,3,4,0.75,4,2,6,2,0,1,1,3,8,85.3,8.53,2,0,6,1,1,4,1,3,Stretch Big / Rim Protector
Hugo González,1,28.2,12,4,12,0.333,3,5,0.6,1,5,0.2,2,2,4,5,3,1,2,3,11,104.333,10.4333,5,3,4,1,2,5,3,3,
Ja'Kobe Walter,1,21.5,12,4,12,0.333,1,5,0.2,3,3,1,0,3,3,2,4,1,0,2,25,103.033,10.3033,2,4,3,1,0,3,1,2,
Jackson Rowe,1,25,12,5,7,0.714,1,2,0.5,1,1,1,0,3,3,1,2,1,0,2,-29,39.214,3.9214,1,2,3,1,0,1,1,2,3&D Wing
Jazian Gortman,2,18.3,12,5.5,9,0.611,1,3,0.333,0,0,0,0,2,2,1.5,1.5,0,0,0.5,-5,52.244,5.2244,0.75,0.75,1,0,0,0,0.5,0.25,
Phillip Wheeler,2,18.6,12,3,4.5,0.667,0.5,1,0.5,5.5,6,0.917,1.5,0.5,2,0,1.5,0.5,1.5,3.5,-9,55.184,5.5184,0,0.75,1,0.25,0.75,3,0.25,1.75,
Will Richard,1,22.6,12,5,9,0.556,0,3,0,2,3,0.667,2,2,4,3,0,3,1,3,-8,67.823,6.7823,3,0,4,3,1,3,0,3,
Brooks Barnhizer,2,26.4,11.5,5,10.5,0.476,0.5,3.5,0.143,1,3,0.333,0.5,5.5,6,2.5,1.5,6.5,0.5,1.5,15,101.852,10.1852,1.25,0.75,3,3.25,0.25,1.5,0.25,0.75,
