Player,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,MSR,MSR %,AST/G,TOV/G,REB/G,STL/G,BLK/G,FTA/G,3PM/G,PF/G,Euro Archetype Tag
Erik Reynolds II,2,8.3,2,1,2.5,0.4,0,1.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0.5,-10,7.2,0.72,0,0.25,0,0,0,0.25,0,0.25,
Great Osobor,1,4,2,1,1,1,0,0,0,0,2,0,0,2,2,0,1,1,0,0,7,24,2.4,0,1,2,1,0,2,0,0,
Isaiah Wong,1,8.5,2,1,4,0.25,0,2,0,0,0,0,0,1,1,0,0,0,0,0,5,24.75,2.475,0,0,1,0,0,0,0,0,
Kobe Johnson,1,15.4,2,1,3,0.333,0,1,0,0,0,0,2,1,3,0,2,1,0,1,-14,18.733,1.8733,0,2,3,1,0,0,0,1,
Kylor Kelley,1,22.6,2,1,4,0.25,0,0,0,0,0,0,1,9,10,0,2,1,0,5,-12,45.85,4.585,0,2,10,1,0,0,0,5,
Landers Nolley II,1,5.8,2,0,0,0,0,0,0,2,2,1,0,0,0,2,0,0,0,0,-7,7.8,0.78,2,0,0,0,0,2,0,0,
Luka Scuka,1,9,2,1,4,0.25,0,1,0,0,2,0,0,1,1,1,0,0,0,2,-2,22.25,2.225,1,0,1,0,0,2,0,2,
Marques Bolden,1,9,2,0,3,0,0,2,0,2,2,1,1,0,1,0,0,0,1,1,-16,9,0.9,0,0,1,0,1,2,0,1,
Max Abmas,1,16.2,2,1,6,0.167,0,2,0,0,0,0,0,0,0,0,1,2,0,3,-5,28.367,2.8367,0,1,0,2,0,0,0,3,
Saint Thomas,2,4.4,2,1,2,0.5,0,0.5,0,0,0,0,0.5,0.5,1,0,0,0,0,0.5,-8,4.9,0.49,0,0,0.5,0,0,0,0,0.25,
TJ Bamba,1,12.5,2,0,7,0,0,4,0,2,2,1,1,0,1,0,1,2,0,2,-4,33.5,3.35,0,1,1,2,0,2,0,2,
Trey Jemison III,1,11.4,2,1,1,1,0,0,0,0,0,0,1,2,3,2,2,1,0,1,1,29.4,2.94,2,2,3,1,0,0,0,1,
Wendell Moore Jr.,1,15.7,2,0,4,0,0,1,0,2,4,0.5,1,3,4,0,0,0,1,2,-2,38.2,3.82,0,0,4,0,1,4,0,2,
Zack Austin,1,10.2,2,0,2,0,0,2,0,2,2,1,0,0,0,0,0,1,0,0,-9,13.2,1.32,0,0,0,1,0,2,0,0,
Justin McKoy,2,5.5,1.5,0,1.5,0,0,1,0,1.5,2,0.75,0,0.5,0.5,0,0,0.5,0,0.5,3,18.75,1.875,0,0,0.25,0.25,0,1,0,0.25,
Nate Hinton,2,11.5,1.5,0.5,5,0.1,0.5,2.5,0.2,0,0,0,1,2,3,0,0,0.5,0.5,3.5,-7,25.3,2.53,0,0,1.5,0.25,0.25,0,0.25,1.75,
Chase Hunter,2,12.2,1,0.5,4.5,0.111,0,2,0,0,0,0,0.5,2,2.5,1,2.5,0.5,0,1.5,1,31.811,3.1811,0.5,1.25,1.25,0.25,0,0,0,0.75,
Ibrahima Diallo,2,9.4,1,0.5,1,0.5,0,0,0,0,1,0,0,2.5,2.5,1,1.5,0,1,1.5,12,35.4,3.54,0.5,0.75,1.25,0,0.5,0.5,0,0.75,
Jeremy Jones,2,13.1,1,0.5,4,0.125,0,3,0,0,0,0,0.5,1,1.5,0.5,0.5,0.5,0,0,4,30.225,3.0225,0.25,0.25,0.75,0.25,0,0,0,0,
John Ukomadu,1,15.5,1,0,4,0,0,3,0,1,2,0.5,1,1,2,0,1,0,1,5,4,42,4.2,0,1,2,0,1,2,0,5,
Julian Reese,1,7.7,1,0,1,0,0,0,0,1,2,0.5,1,1,2,1,2,0,0,2,-4,18.2,1.82,1,2,2,0,0,2,0,2,
Moses Brown,1,2.7,1,0,0,0,0,0,0,1,2,0.5,1,2,3,0,0,0,0,1,2,16.2,1.62,0,0,3,0,0,2,0,1,
Stefan Todorovic,1,6.7,1,0,2,0,0,0,0,1,2,0.5,0,1,1,0,1,0,0,0,-8,8.2,0.82,0,1,1,0,0,2,0,0,
Yanic Konan Niederhäuser,1,26.4,1,0,4,0,0,1,0,1,2,0.5,2,8,10,0,2,2,4,4,-2,65.9,6.59,0,2,10,2,4,2,0,4,
Alondes Williams,1,15.2,0,0,2,0,0,2,0,0,0,0,0,1,1,1,1,0,0,1,-1,23.2,2.32,1,1,1,0,0,0,0,1,
Anton Watson,1,5.2,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,-3,8.2,0.82,2,0,1,0,0,0,0,0,
Biwali Bayles,1,2.8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,9.8,0.98,0,0,0,0,1,0,0,1,
Buddy Boeheim,2,8.5,0,0,3.5,0,0,3.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0.5,-8,9.5,0.95,0.25,0,0.25,0,0,0,0,0.25,
Cameron Brown,2,13,0,0,1,0,0,0.5,0,0,0,0,0,2,2,0.5,0,1,0.5,1.5,-13,9,0.9,0.25,0,1,0.5,0.25,0,0,0.75,
Cameron Matthews,1,19.8,0,0,1,0,0,0,0,0,0,0,1,2,3,1,0,2,0,4,-7,26.8,2.68,1,0,3,2,0,0,0,4,
Cesare Edwards,1,4.2,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,-4,7.2,0.72,1,0,1,0,1,0,0,1,
Chris Manon,1,14.7,0,0,4,0,0,1,0,0,2,0,1,2,3,0,3,0,1,3,0,34.7,3.47,0,3,3,0,1,2,0,3,
D.J. Rodman,1,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,6.8,0.68,1,0,0,0,0,0,0,1,
Dane Goodwin,1,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0.1,0.01,0,0,0,0,0,0,0,0,
Dillon Jones,1,8.7,0,0,2,0,0,2,0,0,0,0,0,1,1,0,1,0,0,2,-7,10.7,1.07,0,1,1,0,0,0,0,2,
Dylan Cardwell,2,10.3,0,0,1,0,0,0,0,0,0,0,0.5,2,2.5,0,0.5,0,0.5,2,2,21.3,2.13,0,0.25,1.25,0,0.25,0,0,1,
Efton Reid III,1,1.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-3.7,-0.37,0,0,0,0,0,0,0,0,
Jaden Springer,1,16.8,0,0,2,0,0,1,0,0,0,0,1,2,3,1,1,0,0,2,-18,11.8,1.18,1,1,3,0,0,0,0,2,
Jahmyl Telfort,1,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3,1.8,0.18,0,0,0,0,0,0,0,1,
Jalen Hood-Schifino,1,21.1,0,0,4,0,0,1,0,0,0,0,1,1,2,0,1,1,0,6,-19,19.1,1.91,0,1,2,1,0,0,0,6,
Jalen Slawson,1,14.4,0,0,1,0,0,0,0,0,0,0,0,1,1,2,4,2,2,0,-5,22.4,2.24,2,4,1,2,2,0,0,0,
Jaxson Robinson,2,9.9,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0.5,0,0,1,1,17.4,1.74,0.5,0.25,0,0,0,0,0,0.5,
Josh Uduje,1,6.3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10,19.3,1.93,1,1,0,0,0,0,0,0,
Kadin Shedrick,1,9.7,0,0,2,0,0,0,0,0,0,0,2,0,2,2,0,2,1,5,-3,22.7,2.27,2,0,2,2,1,0,0,5,
Keisei Tominaga,1,1.8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,5.8,0.58,0,0,0,0,1,0,0,1,
Kerwin Walton,2,3.1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,-4,1.6,0.16,0,0,0,0,0,0,0,0.25,
Khalif Battle,1,14.2,0,0,2,0,0,1,0,0,0,0,0,1,1,1,2,1,0,1,9,33.2,3.32,1,2,1,1,0,0,0,1,
Lance Ware,1,2.9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,7.9,0.79,0,0,0,0,0,2,0,0,
Liam Robbins,1,4.8,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,-1,8.8,0.88,0,0,1,0,0,0,0,1,
Marcus Williams,1,12.4,0,0,3,0,0,2,0,0,0,0,1,0,1,0,0,0,1,1,0,21.4,2.14,0,0,1,0,1,0,0,1,
Mylik Wilson,1,1.4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,5.4,0.54,0,0,1,0,0,0,0,1,
Nate Santos,1,10.3,0,0,2,0,0,1,0,0,0,0,0,4,4,1,1,0,0,1,-1,23.3,2.33,1,1,4,0,0,0,0,1,
Nathan Mensah,1,7,0,0,1,0,0,0,0,0,0,0,1,1,2,0,1,0,0,4,-1,16,1.6,0,1,2,0,0,0,0,4,
Noah Farrakhan,1,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6.9,0.69,0,0,0,0,0,0,0,2,
Romeo Weems,1,3.8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-7,-0.2,-0.02,0,0,0,0,0,0,0,1,
TY Johnson,1,16.4,0,0,6,0,0,3,0,0,0,0,1,5,6,3,0,0,2,3,21,66.4,6.64,3,0,6,0,2,0,0,3,
Tyson Degenhart,1,4.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,9,18.5,1.85,0,0,1,0,0,0,0,3,
Yudai Baba,1,1.5,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,8.5,0.85,0,0,2,0,0,0,0,0,
