Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus/Minus,Euro Archetype,European Archetype
Cam Spencer,13.4417,27.0,16.0,5.0,12.0,0.417,2.0,5.0,40.0,4.0,4.0,1.0,1.5,2.0,3.5,3.0,2.5,0.5,0.0,4.0,1,,TBD
Dylan Harper,9.3243,22.1,16.0,5.0,14.0,0.357,0.5,4.0,12.5,5.5,7.0,0.786,0.5,3.5,4.0,2.0,3.5,1.0,0.5,2.5,-12,,TBD
GG Jackson,12.3356,29.0,16.0,5.0,10.0,0.5,1.0,3.0,33.3,5.0,9.0,0.556,1.0,3.0,4.0,2.0,2.0,0.0,0.0,2.0,-3,,TBD
John Tonje,15.8456,23.3,16.0,5.0,9.0,0.556,4.0,7.0,57.1,2.0,4.0,0.5,0.0,3.0,3.0,3.0,0.0,1.0,0.0,5.0,15,,TBD
Patrick Baldwin Jr.,14.0064,26.6,16.0,6.0,16.5,0.364,3.0,10.5,28.6,1.0,2.0,0.5,1.5,8.5,10.0,0.5,3.5,2.0,1.5,4.5,-3,,TBD
RayJ Dennis,12.91,27.7,16.0,5.3,13.3,0.4,2.3,6.0,38.9,3.0,3.3,0.9,0.3,1.7,2.0,6.0,4.0,2.3,0.7,2.0,-7,,TBD
Alex Sarr,12.533,29.6,15.5,6.0,12.5,0.48,0.5,2.5,20.0,3.0,4.0,0.75,2.5,5.5,8.0,2.0,4.0,0.5,5.5,1.5,1,,TBD
Tolu Smith,12.3333,24.6,15.5,5.0,10.0,0.5,0.0,0.0,0.0,5.5,7.5,0.733,6.0,5.5,11.5,3.0,2.5,0.5,1.5,4.5,19,,TBD
Charles Bassey,9.4404,21.3,15.3,6.3,9.0,0.704,0.0,0.0,0.0,2.7,2.7,1.0,4.0,7.0,11.0,0.3,1.7,0.7,2.0,1.7,7,,TBD
Jacob Toppin,13.1634,22.9,15.3,5.7,10.0,0.567,1.3,3.3,40.0,2.7,4.0,0.667,3.0,4.3,7.3,1.3,1.3,0.7,0.0,1.3,6,,TBD
Antonio Reeves,9.2,22.5,15.0,5.5,11.0,0.5,0.5,2.0,25.0,3.5,3.5,1.0,1.5,2.0,3.5,0.0,0.0,2.0,0.0,2.0,-9,,TBD
Gabe Madsen,12.2392,12.6,15.0,5.0,8.0,0.625,4.0,6.5,61.5,1.0,1.5,0.667,1.0,0.0,1.0,0.5,1.5,1.0,0.0,0.0,1,,TBD
Kasparas Jakučionis,12.3929,26.4,15.0,4.5,8.5,0.529,2.5,5.5,45.5,3.5,3.5,1.0,0.0,3.0,3.0,3.0,2.5,1.5,0.0,3.5,-9,,TBD
Rob Dillingham,15.1845,29.8,15.0,5.0,14.5,0.345,2.5,6.0,41.7,2.5,2.5,1.0,0.5,3.0,3.5,7.5,5.5,2.5,0.0,1.5,7,,TBD
Jeremiah Fears,10.4891,27.6,14.5,4.5,16.5,0.273,1.0,5.5,18.2,4.5,5.5,0.818,0.5,1.5,2.0,1.0,5.0,1.0,0.0,6.0,-11,,TBD
Lester Quinones,13.9576,21.5,14.5,5.0,10.5,0.476,4.0,7.0,57.1,0.5,1.0,0.5,0.0,3.5,3.5,2.0,2.0,2.0,0.0,5.5,-1,,TBD
Jordan Walsh,12.4839,20.7,14.3,4.3,10.0,0.433,1.7,4.7,35.7,4.0,5.7,0.706,0.3,3.0,3.3,1.3,1.7,0.7,0.0,3.3,9,,TBD
Pete Nance,12.943,28.0,14.3,5.3,10.3,0.516,2.0,5.3,37.5,1.7,2.3,0.714,1.0,5.3,6.3,2.0,1.3,1.3,2.0,3.3,-1,,TBD
Armando Bacot,9.28,22.8,14.0,5.5,11.0,0.5,0.0,2.0,0.0,3.0,3.0,1.0,3.5,5.5,9.0,2.0,1.5,0.5,2.5,5.5,0,,TBD
Ja'Kobe Walter,12.4995,21.5,14.0,5.0,13.5,0.37,1.5,5.0,30.0,2.5,4.0,0.625,0.5,3.0,3.5,1.0,3.5,1.5,0.5,3.5,10,,TBD
Jack McVeigh,12.7911,21.3,14.0,5.5,9.0,0.611,2.5,5.0,50.0,0.5,0.5,1.0,1.0,3.5,4.5,2.0,1.5,0.5,0.5,1.5,3,,TBD
Kobe Brown,14.2614,20.2,14.0,5.0,7.0,0.714,2.0,3.0,66.7,2.0,2.0,1.0,2.0,2.0,4.0,4.0,3.0,2.0,0.0,1.0,1,,TBD
Sidy Cissoko,13.5024,24.0,14.0,5.5,10.5,0.524,1.5,4.0,37.5,1.5,1.5,1.0,0.5,4.0,4.5,2.5,3.0,2.0,0.5,4.5,12,,TBD
Tidjane Salaün,12.2695,24.4,14.0,4.3,9.7,0.448,1.7,5.0,33.3,3.7,5.7,0.647,1.7,4.0,5.7,1.0,1.7,0.0,0.7,3.0,2,,TBD
Tristan Enaruna,11.7608,20.8,14.0,5.7,8.0,0.708,1.0,2.3,42.9,1.7,3.3,0.5,1.0,1.0,2.0,2.0,0.7,1.0,0.3,0.7,8,,TBD
Dominick Barlow,9.17,22.1,13.5,6.0,10.0,0.6,0.5,2.5,20.0,1.0,1.0,1.0,4.0,3.0,7.0,1.5,1.0,1.5,0.0,2.5,-7,,TBD
Jonathan Mogbo,9.0356,22.9,13.5,6.0,8.5,0.706,0.0,0.0,0.0,1.5,2.0,0.75,2.0,3.5,5.5,1.5,2.5,2.0,0.5,1.0,16,,TBD
Asa Newell,14.4819,25.1,13.3,4.7,9.0,0.519,2.0,4.0,50.0,2.0,4.0,0.5,2.3,6.0,8.3,0.7,0.7,0.7,0.3,3.7,7,,TBD
Baylor Scheierman,13.6413,28.9,13.3,5.0,16.0,0.313,2.0,9.3,21.4,1.3,1.7,0.8,0.7,4.7,5.3,7.0,1.7,2.7,0.0,3.3,11,,TBD
Nikola Đurišić,12.5446,26.5,13.3,4.7,9.3,0.5,0.3,1.0,33.3,3.7,4.3,0.846,0.3,2.7,3.0,4.0,2.0,0.7,0.7,4.3,10,,TBD
Phillip Wheeler,9.683,17.9,13.3,3.3,5.3,0.625,0.3,1.0,33.3,6.3,7.0,0.905,1.7,0.7,2.3,0.3,1.0,0.3,1.3,3.0,-3,,TBD
Bronny James,10.9948,23.1,13.0,4.3,9.7,0.448,1.7,5.3,31.3,2.7,3.3,0.8,1.3,1.3,2.7,3.3,2.7,0.7,0.3,2.0,0,,TBD
James Bouknight,14.0036,21.9,13.0,3.5,5.5,0.636,1.5,3.0,50.0,4.5,4.5,1.0,0.5,5.0,5.5,4.0,2.5,1.5,1.5,0.5,10,,TBD
Kevon Harris,9.3807,22.5,13.0,4.5,9.5,0.474,1.5,5.0,30.0,2.5,3.0,0.833,1.0,1.5,2.5,2.5,1.0,2.5,0.0,2.0,-12,,TBD
Leonard Miller,10.8523,23.4,13.0,5.5,13.0,0.423,1.0,5.5,18.2,1.0,1.0,1.0,1.0,7.0,8.0,0.5,2.5,1.5,2.5,3.5,-1,,TBD
Rayan Rupert,17.07,23.7,13.0,3.0,6.0,0.5,1.5,2.0,75.0,5.5,5.5,1.0,1.5,4.5,6.0,3.5,2.0,2.0,0.0,3.5,11,,TBD
Tosan Evbuomwan,13.18,24.3,13.0,4.0,8.0,0.5,1.0,2.0,50.0,4.0,4.0,1.0,1.0,3.0,4.0,3.0,5.0,1.0,1.0,5.0,-3,,TBD
Tyson Etienne,11.9391,22.9,13.0,4.5,11.5,0.391,4.0,9.5,42.1,0.0,0.0,0.0,1.5,0.5,2.0,2.5,1.5,1.5,0.0,4.0,-2,,TBD
Jaylen Sims,11.8257,20.5,12.7,4.0,6.7,0.6,0.7,1.7,40.0,4.0,4.7,0.857,1.7,2.0,3.7,1.0,1.7,2.0,0.0,1.7,8,,TBD
Noa Essengue,10.0534,24.9,12.7,4.3,10.3,0.419,1.3,5.0,26.7,2.7,4.3,0.615,2.0,3.3,5.3,0.7,3.0,1.3,0.7,2.0,-11,,TBD
Derik Queen,14.6229,26.7,12.5,4.5,10.5,0.429,0.5,1.0,50.0,3.0,5.0,0.6,2.5,9.0,11.5,2.0,4.5,0.5,0.5,5.0,-4,,TBD
Hunter Tyson,11.3788,28.5,12.5,4.5,14.0,0.321,1.5,5.5,27.3,2.0,3.0,0.667,1.0,8.0,9.0,1.0,1.0,1.0,0.0,1.0,-8,,TBD
Nikola Topić,14.5675,25.9,12.5,4.5,12.0,0.375,1.5,3.5,42.9,2.0,2.0,1.0,1.0,1.5,2.5,8.0,3.0,1.5,0.0,3.0,17,,TBD
Isaiah Collier,12.2312,27.1,12.3,4.7,11.3,0.412,1.0,3.3,30.0,2.0,4.0,0.5,0.7,4.0,4.7,8.3,4.0,1.0,0.3,1.7,1,,TBD
Chaz Lanier,12.776,25.1,12.0,4.5,12.5,0.36,3.0,9.0,33.3,0.0,0.0,0.0,0.5,2.0,2.5,3.0,1.0,1.0,0.5,1.5,16,,TBD
Eli John Ndiaye,11.005,20.8,12.0,4.0,8.0,0.5,1.0,4.0,25.0,3.0,4.0,0.75,4.0,2.0,6.0,2.0,0.0,1.0,1.0,3.0,8,,TBD
Jackson Rowe,8.8714,25.0,12.0,5.0,7.0,0.714,1.0,2.0,50.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0,0.0,2.0,-29,,TBD
Jazian Gortman,8.5211,18.3,12.0,5.5,9.0,0.611,1.0,3.0,33.3,0.0,0.0,0.0,0.0,2.0,2.0,1.5,1.5,0.0,0.0,0.5,-5,,TBD
Keshad Johnson,10.3542,28.7,12.0,4.3,9.3,0.464,1.0,4.0,25.0,2.3,3.0,0.778,1.7,2.3,4.0,3.7,1.0,1.0,1.3,4.7,-7,,TBD
Koby Brea,11.0524,24.0,12.0,4.7,11.0,0.424,2.0,4.7,42.9,0.7,0.7,1.0,0.3,3.7,4.0,0.7,2.7,0.7,0.0,1.3,-7,,TBD
M.J. Walker Jr.,12.71,19.2,12.0,4.0,10.0,0.4,4.0,8.0,50.0,0.0,0.0,0.0,0.5,2.0,2.5,1.0,0.5,0.5,0.0,2.5,10,,TBD
Pacôme Dadiet,7.8658,21.7,12.0,5.5,12.0,0.458,1.0,4.0,25.0,0.0,0.5,0.0,1.0,2.5,3.5,1.0,2.0,0.0,0.5,2.0,-16,,TBD
Riley Minix,13.2844,26.5,12.0,4.0,9.0,0.444,2.7,5.3,50.0,1.3,1.3,1.0,2.3,3.0,5.3,1.3,1.0,0.7,0.7,4.0,1,,TBD
Wendell Moore Jr.,11.2796,18.6,12.0,4.5,8.5,0.529,1.0,2.0,50.0,2.0,3.0,0.667,1.0,4.0,5.0,0.0,0.5,0.5,0.5,1.5,-3,,TBD
