Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus/Minus,European Archetype
Wooga Poplar,6.9566,14.9,6.0,1.5,4.5,0.333,0.5,2.5,20.0,2.5,3.0,0.833,0.0,1.0,1.0,0.5,1.0,0.0,0.0,1.0,8.5,TBD
Max Shulga,6.9456,22.6,6.0,1.7,6.0,0.278,0.3,3.0,11.1,2.3,3.0,0.778,0.0,1.3,1.3,4.3,0.3,1.7,0.3,3.7,-0.5,TBD
Biwali Bayles,6.93,2.8,1.5,0.5,1.0,0.5,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,9.0,TBD
MarJon Beauchamp,6.93,20.9,7.5,3.0,10.0,0.3,0.0,3.5,0.0,1.5,2.5,0.6,0.5,2.5,3.0,1.0,1.0,0.0,1.0,1.5,9.0,TBD
Joan Beringer,6.9245,22.3,9.0,3.5,4.5,0.778,0.0,0.0,0.0,2.0,3.0,0.667,4.0,3.5,7.5,2.0,0.5,1.0,3.5,2.0,-0.5,TBD
Tyler Burton,6.8967,16.1,7.0,2.5,6.0,0.417,0.5,3.0,16.7,1.5,2.0,0.75,1.0,3.5,4.5,1.5,1.0,0.5,0.5,0.5,-0.5,TBD
Sir'Jabari Rice,6.87,14.7,3.5,1.5,7.5,0.2,0.5,3.5,14.3,0.0,0.5,0.0,1.5,2.0,3.5,0.5,1.5,1.0,1.0,3.0,8.5,TBD
Jules Bernard,6.8473,18.7,8.0,3.0,11.0,0.273,0.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,2.0,8.5,TBD
AJ Johnson,6.8233,20.4,9.5,3.5,7.0,0.5,0.0,2.0,0.0,2.5,3.0,0.833,0.5,3.0,3.5,0.5,1.5,0.5,0.0,1.0,8.5,TBD
Kyle Mangas,6.7783,14.5,4.3,1.3,4.0,0.333,0.7,3.3,20.0,1.0,1.3,0.75,0.3,1.3,1.7,1.7,1.0,0.3,0.0,1.0,9.0,TBD
