Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus/Minus,European Archetype
Quenton Jackson,19.61,25.8,24.0,8.0,10.0,0.8,1.0,1.0,100.0,7.0,7.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,4.0,-0.5,TBD
Kyle Filipowski,18.6986,28.6,29.3,10.7,19.0,0.561,3.0,7.7,39.1,5.0,8.0,0.625,1.3,6.3,7.7,2.3,2.3,0.3,0.7,6.0,8.5,TBD
David Jones-Garcia,18.4362,24.3,24.3,9.0,15.3,0.587,4.0,6.3,63.2,2.3,2.7,0.875,1.0,4.3,5.3,4.0,4.0,1.7,0.0,2.7,8.5,TBD
Nique Clifford,18.0873,25.6,18.3,6.7,11.0,0.606,2.3,3.3,70.0,2.7,4.0,0.667,1.0,5.3,6.3,3.7,3.7,1.7,0.7,4.3,9.0,TBD
Ronald Holland II,17.873,28.0,21.5,6.5,12.0,0.542,3.0,5.5,54.5,5.5,8.0,0.688,1.5,4.5,6.0,2.5,2.5,3.0,0.5,3.5,9.0,TBD
Kel'el Ware,17.6162,28.9,17.3,6.7,12.7,0.526,1.7,2.7,62.5,2.3,3.7,0.636,2.3,7.7,10.0,0.7,1.0,1.3,1.7,3.3,8.5,TBD
A.J. Lawson,17.2484,22.2,21.5,6.0,10.0,0.6,3.0,5.0,60.0,6.5,9.5,0.684,2.0,3.5,5.5,2.5,1.0,2.0,1.0,1.5,8.5,TBD
Nae'Qwan Tomlin,16.9672,26.4,21.0,8.3,12.7,0.658,2.7,5.3,50.0,1.7,2.3,0.714,3.3,4.0,7.3,4.0,2.3,2.0,0.7,5.3,9.0,TBD
Enrique Freeman,16.8509,26.8,16.3,4.7,7.3,0.636,1.3,2.3,57.1,5.7,7.3,0.773,3.0,6.3,9.3,1.7,2.0,1.0,2.0,4.0,9.0,TBD
Rayan Rupert,16.82,23.7,13.0,3.0,6.0,0.5,1.5,2.0,75.0,5.5,5.5,1.0,1.5,4.5,6.0,3.5,2.0,2.0,0.0,3.5,8.5,TBD
Reed Sheppard,16.5464,30.6,23.0,8.0,22.0,0.364,3.5,11.0,31.8,3.5,5.0,0.7,0.0,5.5,5.5,2.5,4.5,4.0,1.5,3.0,-0.5,TBD
Terrence Shannon Jr.,16.4524,29.8,22.0,7.0,16.5,0.424,3.5,11.5,30.4,4.5,5.0,0.9,1.0,5.5,6.5,6.0,1.5,1.5,0.0,2.0,9.0,TBD
Walter Clayton Jr.,16.3671,27.2,21.0,8.0,17.0,0.471,4.0,10.0,40.0,1.0,2.0,0.5,0.0,6.0,6.0,3.0,2.0,0.0,1.0,6.0,8.5,TBD
Matas Buzelis,16.2479,28.4,22.5,6.0,14.0,0.429,2.0,6.0,33.3,8.5,10.0,0.85,0.0,5.0,5.0,1.0,4.0,1.0,1.5,4.0,9.0,TBD
Cole Swider,16.2244,29.8,19.7,6.7,13.7,0.488,4.7,9.7,48.3,1.7,3.0,0.556,1.7,6.7,8.3,1.7,1.7,1.3,0.0,3.0,-0.5,TBD
Jordan Miller,16.1582,32.2,21.0,7.0,14.0,0.5,2.0,5.7,35.3,5.0,5.7,0.882,1.7,4.7,6.3,2.3,3.0,1.7,0.3,3.3,9.0,TBD
Daniss Jenkins,15.9067,22.2,20.5,7.0,10.5,0.667,3.0,4.5,66.7,3.5,3.5,1.0,0.0,2.5,2.5,4.5,1.0,1.5,1.5,3.0,-0.5,TBD
Derik Queen,15.8729,26.7,12.5,4.5,10.5,0.429,0.5,1.0,50.0,3.0,5.0,0.6,2.5,9.0,11.5,2.0,4.5,0.5,0.5,5.0,8.5,TBD
Kobe Bufkin,15.8714,26.8,21.3,5.7,16.0,0.354,2.0,7.3,27.3,8.0,8.3,0.96,0.3,4.7,5.0,5.0,3.7,1.0,1.0,5.0,9.0,TBD
Jaylon Tyson,15.6417,29.6,19.7,6.3,15.7,0.404,2.7,7.7,34.8,4.3,5.3,0.813,2.3,3.7,6.0,6.7,4.0,1.3,1.3,4.3,-0.5,TBD
Rob Dillingham,15.3845,29.8,15.0,5.0,14.5,0.345,2.5,6.0,41.7,2.5,2.5,1.0,0.5,3.0,3.5,7.5,5.5,2.5,0.0,1.5,9.0,TBD
Chris Livingston,15.3767,28.7,20.0,7.0,14.0,0.5,2.0,5.3,37.5,4.0,6.0,0.667,1.3,4.0,5.3,2.7,1.7,0.7,0.7,2.7,9.0,TBD
Chris Youngblood,15.3203,23.9,20.0,7.0,11.0,0.636,4.0,6.5,61.5,2.0,3.0,0.667,2.0,1.5,3.5,1.5,2.0,1.5,0.0,1.5,-0.5,TBD
Liam McNeeley,15.2796,29.1,18.0,5.5,13.5,0.407,3.0,7.0,42.9,4.0,4.5,0.889,3.0,5.5,8.5,4.0,1.5,0.5,0.0,1.5,-0.5,TBD
Patrick Baldwin Jr.,15.2064,26.6,16.0,6.0,16.5,0.364,3.0,10.5,28.6,1.0,2.0,0.5,1.5,8.5,10.0,0.5,3.5,2.0,1.5,4.5,9.0,TBD
KJ Simpson,15.1724,27.9,19.3,6.7,14.7,0.455,2.7,7.3,36.4,3.3,4.3,0.769,1.0,2.7,3.7,5.3,2.7,1.7,0.0,2.3,8.5,TBD
Kyshawn George,15.1579,31.5,17.0,7.0,17.0,0.412,2.0,8.5,23.5,1.0,1.5,0.667,1.5,6.5,8.0,4.5,3.5,4.0,0.0,5.0,8.5,TBD
Kennedy Chandler,15.1317,28.6,19.0,6.7,16.0,0.417,1.7,4.7,35.7,4.0,6.7,0.6,1.7,1.3,3.0,4.3,2.7,2.0,0.7,3.0,8.5,TBD
Caleb Love,15.0578,26.4,18.0,7.0,18.5,0.378,3.5,8.0,43.8,0.5,1.0,0.5,0.0,3.5,3.5,1.5,2.0,0.5,0.5,2.5,9.0,TBD
Kobe Brown,15.0114,20.2,14.0,5.0,7.0,0.714,2.0,3.0,66.7,2.0,2.0,1.0,2.0,2.0,4.0,4.0,3.0,2.0,0.0,1.0,8.5,TBD
Ryan Dunn,14.9683,25.7,17.5,6.5,10.0,0.65,2.0,4.0,50.0,2.5,3.0,0.833,2.0,3.5,5.5,2.5,1.0,1.5,0.0,2.5,8.5,TBD
Ajay Mitchell,14.9486,27.0,16.5,5.0,12.0,0.417,1.5,4.5,33.3,5.0,6.5,0.769,1.0,4.5,5.5,4.5,6.5,1.5,0.5,4.5,8.5,TBD
Drew Timme,14.9122,30.5,26.0,11.5,18.5,0.622,1.5,5.0,30.0,1.5,3.0,0.5,1.5,5.5,7.0,2.0,1.0,1.0,0.5,2.5,-0.5,TBD
Lester Quinones,14.9076,21.5,14.5,5.0,10.5,0.476,4.0,7.0,57.1,0.5,1.0,0.5,0.0,3.5,3.5,2.0,2.0,2.0,0.0,5.5,8.5,TBD
Cooper Flagg,14.8728,31.4,20.5,7.5,21.0,0.357,1.5,7.0,21.4,4.0,7.0,0.571,0.0,5.0,5.0,2.5,1.5,1.5,0.5,1.5,9.0,TBD
Devin Carter,14.813,24.8,18.3,6.3,13.0,0.487,2.7,5.3,50.0,3.0,4.7,0.643,0.3,4.0,4.3,2.7,2.0,2.7,0.7,2.7,-0.5,TBD
Tristan da Silva,14.69,28.1,18.5,7.0,14.0,0.5,2.5,6.5,38.5,2.0,2.5,0.8,1.5,4.5,6.0,3.0,4.5,1.0,1.0,5.0,-0.5,TBD
Asa Newell,14.6819,25.1,13.3,4.7,9.0,0.519,2.0,4.0,50.0,2.0,4.0,0.5,2.3,6.0,8.3,0.7,0.7,0.7,0.3,3.7,9.0,TBD
Jamaree Bouyea,14.6348,23.4,16.5,6.5,14.5,0.448,3.5,7.0,50.0,0.0,0.0,0.0,1.0,2.5,3.5,4.0,0.0,2.5,0.5,1.5,9.0,TBD
Johni Broome,14.5767,16.3,9.0,3.5,7.5,0.467,2.0,2.5,80.0,0.0,0.0,0.0,3.0,1.0,4.0,1.5,1.0,1.0,0.5,3.5,9.0,TBD
Dexter Dennis,14.535,20.6,10.0,3.0,4.0,0.75,3.0,3.7,81.8,1.0,1.7,0.6,0.7,1.0,1.7,0.0,0.3,0.3,0.7,2.0,8.5,TBD
RayJ Dennis,14.46,27.7,16.0,5.3,13.3,0.4,2.3,6.0,38.9,3.0,3.3,0.9,0.3,1.7,2.0,6.0,4.0,2.3,0.7,2.0,8.5,TBD
Javon Freeman-Liberty,14.3862,28.5,20.0,5.7,12.7,0.447,1.3,3.7,36.4,7.3,9.0,0.815,1.3,3.0,4.3,2.3,3.0,1.3,0.3,3.0,-0.5,TBD
Tosan Evbuomwan,14.33,24.3,13.0,4.0,8.0,0.5,1.0,2.0,50.0,4.0,4.0,1.0,1.0,3.0,4.0,3.0,5.0,1.0,1.0,5.0,8.5,TBD
John Tonje,14.2956,23.3,16.0,5.0,9.0,0.556,4.0,7.0,57.1,2.0,4.0,0.5,0.0,3.0,3.0,3.0,0.0,1.0,0.0,5.0,-0.5,TBD
Kendall Brown,14.2788,14.1,9.3,3.7,5.3,0.688,0.7,0.7,100.0,1.3,1.7,0.8,0.0,1.0,1.0,0.3,0.7,0.7,0.0,1.3,-0.5,TBD
Kevin McCullar Jr.,14.2734,27.8,21.5,7.5,14.5,0.517,1.0,5.0,20.0,5.5,6.0,0.917,2.0,3.0,5.0,2.0,4.5,1.5,0.0,5.5,9.0,TBD
DJ Steward,14.2524,25.7,10.0,4.0,12.3,0.324,1.7,3.0,55.6,0.3,0.3,1.0,1.3,3.3,4.7,4.3,2.7,1.7,0.3,1.0,9.0,TBD
Jase Richardson,14.1365,23.4,16.5,5.0,9.0,0.556,1.5,3.0,50.0,5.0,5.5,0.909,0.0,1.5,1.5,2.5,1.0,0.5,1.0,4.0,9.0,TBD
Riley Minix,14.0844,26.5,12.0,4.0,9.0,0.444,2.7,5.3,50.0,1.3,1.3,1.0,2.3,3.0,5.3,1.3,1.0,0.7,0.7,4.0,9.0,TBD
Tre Johnson,14.0683,27.5,19.5,7.0,12.0,0.583,2.5,5.5,45.5,3.0,5.0,0.6,1.0,2.0,3.0,1.5,2.5,1.0,0.0,1.5,-0.5,TBD
Daniel Batcho,13.99,7.4,8.0,3.0,3.0,1.0,1.0,1.0,100.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,9.0,TBD
Cam Christie,13.987,32.2,16.7,5.0,12.3,0.405,2.3,6.7,35.0,4.3,5.7,0.765,0.7,4.3,5.0,3.7,2.3,1.7,0.0,1.3,-0.5,TBD
Boogie Ellis,13.8791,19.4,10.0,3.0,7.7,0.391,2.7,4.3,61.5,1.3,1.3,1.0,1.3,2.0,3.3,3.0,2.3,2.3,0.0,3.0,9.0,TBD
Craig Porter Jr.,13.85,6.5,7.0,2.0,2.0,1.0,1.0,1.0,100.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,TBD
Hugo González,13.7636,27.6,11.0,3.5,12.0,0.292,2.0,6.0,33.3,2.0,4.5,0.444,2.5,3.0,5.5,4.0,4.5,0.5,1.0,5.0,9.0,TBD
Micah Peavy,13.6956,24.9,11.0,5.0,9.0,0.556,1.0,2.0,50.0,0.0,0.0,0.0,3.0,4.0,7.0,0.0,2.0,2.0,0.0,7.0,8.5,TBD
Jaylen Wells,13.6908,25.3,18.0,5.0,13.0,0.385,2.0,6.0,33.3,6.0,6.5,0.923,1.0,4.0,5.0,3.0,2.0,1.5,0.5,4.0,-0.5,TBD
GG Jackson,13.5356,29.0,16.0,5.0,10.0,0.5,1.0,3.0,33.3,5.0,9.0,0.556,1.0,3.0,4.0,2.0,2.0,0.0,0.0,2.0,9.0,TBD
Maxime Raynaud,13.4638,27.8,16.5,7.0,13.0,0.538,1.5,4.5,33.3,1.0,1.0,1.0,2.0,3.5,5.5,2.0,0.5,1.0,0.0,4.5,8.5,TBD
Jacob Toppin,13.4634,22.9,15.3,5.7,10.0,0.567,1.3,3.3,40.0,2.7,4.0,0.667,3.0,4.3,7.3,1.3,1.3,0.7,0.0,1.3,9.0,TBD
Pelle Larsson,13.3961,29.0,18.0,4.3,10.0,0.433,1.3,4.0,33.3,8.0,9.7,0.828,0.0,2.3,2.3,3.7,4.3,0.7,0.0,2.3,-0.5,TBD
Baylor Scheierman,13.3913,28.9,13.3,5.0,16.0,0.313,2.0,9.3,21.4,1.3,1.7,0.8,0.7,4.7,5.3,7.0,1.7,2.7,0.0,3.3,8.5,TBD
Nolan Hickman,13.3533,7.2,3.0,1.0,3.0,0.333,1.0,1.0,100.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,9.0,TBD
Cody Williams,13.3135,32.4,17.7,6.7,16.3,0.408,1.7,7.3,22.7,2.7,3.7,0.727,0.7,4.3,5.0,3.0,2.0,2.3,0.7,3.3,-0.5,TBD
Cam Spencer,13.2917,27.0,16.0,5.0,12.0,0.417,2.0,5.0,40.0,4.0,4.0,1.0,1.5,2.0,3.5,3.0,2.5,0.5,0.0,4.0,-0.5,TBD
Kasparas Jakučionis,13.2429,26.4,15.0,4.5,8.5,0.529,2.5,5.5,45.5,3.5,3.5,1.0,0.0,3.0,3.0,3.0,2.5,1.5,0.0,3.5,-0.5,TBD
Malevy Leons,13.1643,22.5,10.0,4.5,7.0,0.643,0.5,1.0,50.0,0.5,0.5,1.0,3.0,4.0,7.0,3.0,0.5,1.5,1.0,5.0,8.5,TBD
Sidy Cissoko,13.1524,24.0,14.0,5.5,10.5,0.524,1.5,4.0,37.5,1.5,1.5,1.0,0.5,4.0,4.5,2.5,3.0,2.0,0.5,4.5,8.5,TBD
Hunter Tyson,13.0288,28.5,12.5,4.5,14.0,0.321,1.5,5.5,27.3,2.0,3.0,0.667,1.0,8.0,9.0,1.0,1.0,1.0,0.0,1.0,8.5,TBD
DaRon Holmes II,13.0,24.9,11.5,4.5,7.5,0.6,2.5,5.0,50.0,0.0,0.0,0.0,1.0,4.0,5.0,0.5,1.0,0.0,0.5,2.5,9.0,TBD
Pete Nance,12.993,28.0,14.3,5.3,10.3,0.516,2.0,5.3,37.5,1.7,2.3,0.714,1.0,5.3,6.3,2.0,1.3,1.3,2.0,3.3,-0.5,TBD
Tyson Etienne,12.9891,22.9,13.0,4.5,11.5,0.391,4.0,9.5,42.1,0.0,0.0,0.0,1.5,0.5,2.0,2.5,1.5,1.5,0.0,4.0,8.5,TBD
Isaiah Collier,12.9812,27.1,12.3,4.7,11.3,0.412,1.0,3.3,30.0,2.0,4.0,0.5,0.7,4.0,4.7,8.3,4.0,1.0,0.3,1.7,8.5,TBD
Tidjane Salaün,12.9695,24.4,14.0,4.3,9.7,0.448,1.7,5.0,33.3,3.7,5.7,0.647,1.7,4.0,5.7,1.0,1.7,0.0,0.7,3.0,9.0,TBD
Judah Mintz,12.9642,27.1,16.5,3.5,10.0,0.35,0.5,2.0,25.0,9.0,13.0,0.692,0.5,2.0,2.5,3.5,0.5,0.5,0.0,3.5,9.0,TBD
James Bouknight,12.9536,21.9,13.0,3.5,5.5,0.636,1.5,3.0,50.0,4.5,4.5,1.0,0.5,5.0,5.5,4.0,2.5,1.5,1.5,0.5,-0.5,TBD
Jahmyl Telfort,12.93,9.7,1.7,0.7,0.7,1.0,0.3,0.3,100.0,0.0,0.0,0.0,0.3,1.3,1.7,1.0,0.3,0.3,0.0,1.0,9.0,TBD
Obinna Anochili-Killen,12.91,6.6,7.0,3.0,3.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,-0.5,TBD
Bub Carrington,12.8889,30.4,10.5,3.0,8.0,0.375,2.0,4.5,44.4,2.5,3.5,0.714,0.5,4.0,4.5,4.0,2.5,1.5,0.0,2.5,-0.5,TBD
Adonis Arms,12.8828,26.4,18.0,5.5,11.5,0.478,1.0,5.5,18.2,6.0,8.0,0.75,0.5,4.0,4.5,4.0,1.5,2.0,1.0,1.5,8.5,TBD
Zavier Simpson,12.8822,26.6,11.0,4.0,7.7,0.522,1.0,2.7,37.5,2.0,3.3,0.6,1.7,2.0,3.7,5.0,3.0,2.3,1.7,4.0,8.5,TBD
Nikola Topić,12.8175,25.9,12.5,4.5,12.0,0.375,1.5,3.5,42.9,2.0,2.0,1.0,1.0,1.5,2.5,8.0,3.0,1.5,0.0,3.0,-0.5,TBD
Alondes Williams,12.7571,17.3,7.0,2.0,3.5,0.571,2.0,3.0,66.7,1.0,1.0,1.0,0.0,2.5,2.5,2.0,2.0,1.0,0.5,3.0,9.0,TBD
Javan Johnson,12.7,17.2,8.0,3.0,5.0,0.6,2.0,3.0,66.7,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,2.0,2.0,8.5,TBD
Harrison Ingram,12.6775,24.4,8.7,3.0,8.0,0.375,1.3,3.7,36.4,1.3,1.3,1.0,2.0,7.7,9.7,4.7,1.7,0.3,0.0,2.7,8.5,TBD
Kenneth Lofton Jr.,12.6586,17.9,10.3,3.0,7.0,0.429,0.3,0.7,50.0,4.0,4.7,0.857,2.7,2.7,5.3,2.3,2.3,0.3,0.3,3.0,8.5,TBD
M.J. Walker Jr.,12.61,19.2,12.0,4.0,10.0,0.4,4.0,8.0,50.0,0.0,0.0,0.0,0.5,2.0,2.5,1.0,0.5,0.5,0.0,2.5,9.0,TBD
Andre Jackson Jr.,12.58,21.5,5.7,1.7,3.3,0.5,1.0,1.7,60.0,1.3,1.3,1.0,0.7,2.7,3.3,4.0,3.3,0.7,0.3,3.3,8.5,TBD
Kam Jones,12.5053,25.5,11.7,4.3,8.3,0.52,1.3,3.7,36.4,1.7,2.0,0.833,1.3,2.7,4.0,3.3,3.7,2.0,0.3,3.0,8.5,TBD
Wendell Moore Jr.,12.4796,18.6,12.0,4.5,8.5,0.529,1.0,2.0,50.0,2.0,3.0,0.667,1.0,4.0,5.0,0.0,0.5,0.5,0.5,1.5,9.0,TBD
Will Riley,12.4733,21.8,10.5,3.5,6.0,0.583,2.0,3.5,57.1,1.5,2.0,0.75,0.0,1.5,1.5,1.5,0.5,0.0,0.0,1.5,9.0,TBD
Nikola Đurišić,12.4446,26.5,13.3,4.7,9.3,0.5,0.3,1.0,33.3,3.7,4.3,0.846,0.3,2.7,3.0,4.0,2.0,0.7,0.7,4.3,9.0,TBD
Jack McVeigh,12.4411,21.3,14.0,5.5,9.0,0.611,2.5,5.0,50.0,0.5,0.5,1.0,1.0,3.5,4.5,2.0,1.5,0.5,0.5,1.5,-0.5,TBD
Jamal Shead,12.4409,23.0,9.5,3.0,8.5,0.353,1.0,2.5,40.0,2.5,4.5,0.556,1.5,1.5,3.0,5.0,3.0,2.0,0.0,4.0,9.0,TBD
Jordan Walsh,12.4339,20.7,14.3,4.3,10.0,0.433,1.7,4.7,35.7,4.0,5.7,0.706,0.3,3.0,3.3,1.3,1.7,0.7,0.0,3.3,8.5,TBD
Mason Jones,12.41,25.5,9.7,2.7,6.7,0.4,2.0,5.0,40.0,2.3,3.3,0.7,0.3,3.0,3.3,5.7,2.0,0.7,0.0,2.3,8.5,TBD
Alex Sarr,12.383,29.6,15.5,6.0,12.5,0.48,0.5,2.5,20.0,3.0,4.0,0.75,2.5,5.5,8.0,2.0,4.0,0.5,5.5,1.5,-0.5,TBD
Erik Stevenson,12.3433,21.2,8.0,2.7,5.0,0.533,2.0,3.7,54.5,0.7,0.7,1.0,1.0,3.0,4.0,1.0,2.3,0.3,0.0,3.3,8.5,TBD
Tyrese Proctor,12.2764,27.4,11.3,3.7,12.3,0.297,2.0,6.7,30.0,2.0,3.0,0.667,0.7,2.3,3.0,3.7,1.3,1.3,0.3,2.3,8.5,TBD
Bobi Klintman,12.265,29.9,8.5,3.0,7.5,0.4,1.0,3.5,28.6,1.5,2.0,0.75,0.5,8.0,8.5,2.5,2.5,1.5,1.0,3.0,8.5,TBD
Gabe Madsen,12.0892,12.6,15.0,5.0,8.0,0.625,4.0,6.5,61.5,1.0,1.5,0.667,1.0,0.0,1.0,0.5,1.5,1.0,0.0,0.0,-0.5,TBD
Noa Essengue,12.0534,24.9,12.7,4.3,10.3,0.419,1.3,5.0,26.7,2.7,4.3,0.615,2.0,3.3,5.3,0.7,3.0,1.3,0.7,2.0,9.0,TBD
Chaz Lanier,12.026,25.1,12.0,4.5,12.5,0.36,3.0,9.0,33.3,0.0,0.0,0.0,0.5,2.0,2.5,3.0,1.0,1.0,0.5,1.5,8.5,TBD
Isaac Jones,11.9883,24.4,11.0,3.7,6.7,0.55,0.3,1.0,33.3,3.3,4.0,0.833,2.7,4.0,6.7,2.0,2.3,0.7,0.7,2.7,9.0,TBD
Jaylen Sims,11.9257,20.5,12.7,4.0,6.7,0.6,0.7,1.7,40.0,4.0,4.7,0.857,1.7,2.0,3.7,1.0,1.7,2.0,0.0,1.7,9.0,TBD
Taran Armstrong,11.9238,25.0,9.5,3.5,8.0,0.438,1.5,4.5,33.3,1.0,1.0,1.0,1.0,4.0,5.0,5.0,3.5,2.0,0.0,1.0,9.0,TBD
Miles Kelly,11.81,26.3,11.7,4.0,10.0,0.4,2.0,6.3,31.6,1.7,1.7,1.0,0.7,2.7,3.3,0.7,1.0,1.0,0.3,2.7,9.0,TBD
Ryan Nembhard,11.7739,29.5,11.3,4.3,10.7,0.406,1.0,3.0,33.3,1.7,2.0,0.833,0.0,2.7,2.7,6.7,3.7,0.7,0.0,3.7,-0.5,TBD
Jackson Rowe,11.7214,25.0,12.0,5.0,7.0,0.714,1.0,2.0,50.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0,0.0,2.0,-0.5,TBD
Koby Brea,11.7024,24.0,12.0,4.7,11.0,0.424,2.0,4.7,42.9,0.7,0.7,1.0,0.3,3.7,4.0,0.7,2.7,0.7,0.0,1.3,-0.5,TBD
Spencer Jones,11.5966,24.1,10.0,4.0,7.5,0.533,1.5,4.0,37.5,0.5,1.5,0.333,1.0,3.0,4.0,0.0,1.0,1.5,0.0,5.0,9.0,TBD
Jeremiah Fears,11.5391,27.6,14.5,4.5,16.5,0.273,1.0,5.5,18.2,4.5,5.5,0.818,0.5,1.5,2.0,1.0,5.0,1.0,0.0,6.0,-0.5,TBD
Kon Knueppel,11.5333,27.9,10.5,3.0,9.0,0.333,1.5,5.0,30.0,3.0,5.0,0.6,1.0,4.5,5.5,4.0,2.0,1.0,0.5,1.5,-0.5,TBD
Egor Dëmin,11.5233,24.9,10.0,3.0,9.0,0.333,3.0,7.5,40.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.5,1.0,0.5,2.0,-0.5,TBD
Dalton Knecht,11.504,27.3,11.5,4.5,15.5,0.29,2.0,7.5,26.7,0.5,2.0,0.25,2.0,3.5,5.5,2.0,1.0,1.0,0.0,2.5,-0.5,TBD
Ja'Kobe Walter,11.4495,21.5,14.0,5.0,13.5,0.37,1.5,5.0,30.0,2.5,4.0,0.625,0.5,3.0,3.5,1.0,3.5,1.5,0.5,3.5,-0.5,TBD
Dylan Harper,11.3743,22.1,16.0,5.0,14.0,0.357,0.5,4.0,12.5,5.5,7.0,0.786,0.5,3.5,4.0,2.0,3.5,1.0,0.5,2.5,8.5,TBD
E.J. Liddell,11.3483,23.8,7.5,2.5,7.5,0.333,1.0,3.5,28.6,1.5,2.0,0.75,4.0,5.0,9.0,0.5,3.5,0.0,0.5,3.5,8.5,TBD
Javonte Cooke,11.3467,20.1,10.3,3.7,10.0,0.367,2.3,6.3,36.8,0.7,0.7,1.0,0.0,3.0,3.0,1.7,1.3,0.7,0.0,3.0,8.5,TBD
Cormac Ryan,11.3463,21.7,11.7,3.3,9.7,0.345,2.0,6.0,33.3,3.0,3.7,0.818,0.0,0.3,0.3,2.0,2.0,1.3,0.3,2.7,9.0,TBD
Cameron McGriff,11.2818,28.2,9.5,3.5,11.0,0.318,2.5,7.5,33.3,0.0,0.0,0.0,1.5,3.5,5.0,2.0,1.5,1.0,0.0,3.0,-0.5,TBD
Alex Toohey,11.2327,23.8,11.0,3.0,10.0,0.3,1.0,4.0,25.0,4.0,5.5,0.727,2.0,2.0,4.0,1.5,1.0,2.5,0.0,2.5,8.5,TBD
R.J. Felton,11.21,3.6,3.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5,TBD
Tyreke Key,11.2,4.5,3.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,TBD
Alex Schumacher,11.19,6.4,6.5,2.5,5.0,0.5,1.5,2.0,75.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5,0.5,0.0,0.0,1.0,8.5,TBD
Miles Norris,11.1225,24.3,9.0,3.0,8.0,0.375,1.5,5.5,27.3,1.5,2.0,0.75,1.5,3.5,5.0,1.0,2.0,1.5,1.0,4.0,8.5,TBD
Eli John Ndiaye,11.105,20.8,12.0,4.0,8.0,0.5,1.0,4.0,25.0,3.0,4.0,0.75,4.0,2.0,6.0,2.0,0.0,1.0,1.0,3.0,9.0,TBD
Darius Bazley,11.0754,26.0,7.0,2.3,4.3,0.538,0.3,1.0,33.3,2.0,6.3,0.316,2.3,6.0,8.3,3.0,2.3,1.0,2.0,3.0,-0.5,TBD
Keshad Johnson,11.0042,28.7,12.0,4.3,9.3,0.464,1.0,4.0,25.0,2.3,3.0,0.778,1.7,2.3,4.0,3.7,1.0,1.0,1.3,4.7,-0.5,TBD
Maozinha Pereira,10.9645,21.1,7.5,3.0,5.5,0.545,1.5,3.0,50.0,0.0,0.0,0.0,0.5,2.0,2.5,1.0,1.5,0.0,0.0,1.5,8.5,TBD
Curtis Jones,10.9629,16.7,9.0,3.0,7.0,0.429,2.0,5.0,40.0,1.0,1.0,1.0,0.0,3.0,3.0,2.5,1.5,0.0,0.5,4.0,9.0,TBD
Brooks Barnhizer,10.9509,26.4,11.5,5.0,10.5,0.476,0.5,3.5,14.3,1.0,3.0,0.333,0.5,5.5,6.0,2.5,1.5,6.5,0.5,1.5,8.5,TBD
Antonio Reeves,10.95,22.5,15.0,5.5,11.0,0.5,0.5,2.0,25.0,3.5,3.5,1.0,1.5,2.0,3.5,0.0,0.0,2.0,0.0,2.0,8.5,TBD
Bronny James,10.9448,23.1,13.0,4.3,9.7,0.448,1.7,5.3,31.3,2.7,3.3,0.8,1.3,1.3,2.7,3.3,2.7,0.7,0.3,2.0,-0.5,TBD
Tristan Enaruna,10.9108,20.8,14.0,5.7,8.0,0.708,1.0,2.3,42.9,1.7,3.3,0.5,1.0,1.0,2.0,2.0,0.7,1.0,0.3,0.7,-0.5,TBD
Leonard Miller,10.9023,23.4,13.0,5.5,13.0,0.423,1.0,5.5,18.2,1.0,1.0,1.0,1.0,7.0,8.0,0.5,2.5,1.5,2.5,3.5,-0.5,TBD
Johnny Furphy,10.8434,22.9,11.3,4.3,8.3,0.52,1.0,4.0,25.0,1.7,2.3,0.714,0.3,3.7,4.0,2.3,2.7,1.0,0.7,2.7,9.0,TBD
Phillip Wheeler,10.833,17.9,13.3,3.3,5.3,0.625,0.3,1.0,33.3,6.3,7.0,0.905,1.7,0.7,2.3,0.3,1.0,0.3,1.3,3.0,8.5,TBD
Cameron Tyson,10.7929,14.8,9.0,3.0,7.0,0.429,3.0,6.5,46.2,0.0,0.0,0.0,0.5,2.0,2.5,2.0,0.0,0.0,0.0,2.0,9.0,TBD
Jacksen Moni,10.775,7.8,8.0,3.0,4.0,0.75,2.0,3.0,66.7,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.5,TBD
